Abegondo;5.594
Ames;16.549
Aranga;2.423
Ares;4.744
Arteixo;22.153
Arzúa;6.886
Baña (A);5.324
Bergondo;6.119
Betanzos;12.361
Boimorto;2.598
Boiro;18.038
Boqueixón;4.291
Brión;6.239
Cabana de Bergantiños;5.733
Cabanas;3.262
Camariñas;6.813
Cambre;17.805
Capela (A);1.595
Carballo;28.271
Carnota;5.645
Carral;5.275
Cedeira;7.528
Cee;7.364
Cerceda;5.573
Cerdido;1.668
Cesuras;2.646
Coirós;1.552
Corcubión;1.945
Coristanco;8.146
Coruña (A);241.769
Culleredo;20.890
Curtis;4.468
Dodro;3.280
Dumbría;4.529
Fene;14.848
Ferrol;81.255
Fisterra;5.224
Frades;3.083
Irixoa;1.719
Laxe;3.551
Laracha;10.701
Lousame;4.199
Malpica de Bergantiños;7.262
Mañón;1.932
Mazaricos;6.185
Melide;8.441
Mesía;3.409
Miño;4.870
Moeche;1.561
Monfero;2.695
Mugardos;5.984
Muxía;6.213
Muros;10.519
Narón;30.328
Neda;6.166
Negreira;6.588
Noia;14.404
Oleiros;26.016
Ordes;11.942
Oroso;5.236
Ortigueira;8.533
Outes;8.634
Oza dos Ríos;3.208
Paderne;2.753
Padrón;9.260
Pino (O);4.934
Pobra do Caramiñal (A);9.955
Ponteceso;7.155
Pontedeume;8.936
Pontes de García Rodríguez (As);12.488
Porto do Son;10.298
Rianxo;11.882
Ribeira;26.478
Rois;5.216
Sada;11.015
San Sadurniño;3.431
Santa Comba;10.930
Santiago de Compostela;93.903
Santiso;2.282
Sobrado;2.518
Somozas (As);1.473
Teo;14.447
Toques;1.626
Tordoia;5.100
Touro;4.865
Trazo;3.818
Valdoviño;6.790
Val do Dubra;4.892
Vedra;5.083
Vilasantar;1.678
Vilarmaior;1.417
Vimianzo;8.766
Zas;6.212
Cariño;5.036
