Abengibre;976
Alatoz;661
Albacete;149.667
Albatana;872
Alborea;814
Alcadozo;776
Alcalá del Júcar;1.507
Alcaraz;1.738
Almansa;23.775
Alpera;2.349
Ayna;980
Balazote;2.273
Balsa de Ves;259
Ballestero (El);565
Barrax;1.938
Bienservida;912
Bogarra;1.296
Bonete;1.217
Bonillo (El);3.260
Carcelén;673
Casas de Juan Núñez;1.275
Casas de Lázaro;445
Casas de Ves;891
Casas-Ibáñez;4.155
Caudete;8.995
Cenizate;1.076
Corral-Rubio;476
Cotillas;207
Chinchilla de Monte-Aragón;3.205
Elche de la Sierra;3.898
Férez;821
Fuensanta;378
Fuente-Álamo;2.480
Fuentealbilla;1.809
Gineta (La);2.043
Golosalvo;112
Hellín;26.581
Herrera (La);411
Higueruela;1.319
Hoya-Gonzalo;791
Jorquera;577
Letur;1.317
Lezuza;1.762
Liétor;1.635
Madrigueras;4.520
Mahora;1.348
Masegoso;160
Minaya;1.764
Molinicos;1.332
Montalvos;143
Montealegre del Castillo;2.160
Motilleja;508
Munera;4.031
Navas de Jorquera;545
Nerpio;1.763
Ontur;2.416
Ossa de Montiel;2.774
Paterna del Madera;538
Peñascosa;401
Peñas de San Pedro;1.230
Pétrola;937
Povedilla;719
Pozohondo;1.860
Pozo-Lorente;524
Pozuelo;708
Recueja (La);340
Riópar;1.511
Robledo;413
Roda (La);13.651
Salobre;604
San Pedro;1.344
Socovos;2.021
Tarazona de la Mancha;6.074
Tobarra;7.485
Valdeganga;1.966
Vianos;505
Villa de Ves;68
Villalgordo del Júcar;1.295
Villamalea;3.515
Villapalacios;828
Villarrobledo;22.276
Villatoya;191
Villavaliente;282
Villaverde de Guadalimar;528
Viveros;538
Yeste;4.280
