Adsubia;547
Agost;4.095
Agres;639
Aigües;581
Albatera;8.811
Alcalalí;981
Alcocer de Planes;129
Alcoleja;257
Alcoy/Alcoi;60.423
Alfafara;394
Alfàs del Pi (l');14.139
Algorfa;1.243
Algueña;1.447
Alicante/Alacant;276.886
Almoradí;13.807
Almudaina;117
Alqueria d'Asnar (l');418
Altea;15.579
Aspe;16.593
Balones;183
Banyeres de Mariola;6.906
Benasau;189
Beneixama;1.795
Benejúzar;4.942
Benferri;1.055
Beniarbeig;1.172
Beniardá;205
Beniarrés;1.397
Benichembla;392
Benidoleig;860
Benidorm;54.321
Benifallim;148
Benifato;148
Benijófar;1.866
Benilloba;922
Benillup;93
Benimantell;415
Benimarfull;410
Benimassot;173
Benimeli;326
Benissa;10.078
Benitachell/Poble Nou de Benitatxell (el);2.312
Biar;3.562
Bigastro;4.910
Bolulla;324
Busot;1.717
Calpe/Calp;16.733
Callosa d'En Sarrià;6.488
Callosa de Segura;15.409
Campello (el);18.366
Campo de Mirra/Camp de Mirra (el);397
Cañada;1.132
Castalla;7.631
Castell de Castells;466
Catral;5.012
Cocentaina;10.468
Confrides;325
Cox;5.825
Crevillente;24.690
Quatretondeta;179
Daya Nueva;1.193
Daya Vieja;190
Dénia;30.693
Dolores;6.276
Elche/Elx;195.791
Elda;51.501
Facheca;134
Famorca;63
Finestrat;2.169
Formentera del Segura;2.093
Gata de Gorgos;5.032
Gaianes;298
Gorga;265
Granja de Rocamora;1.963
Guadalest;181
Guardamar del Segura;9.326
Hondón de las Nieves;1.611
Hondón de los Frailes;563
Ibi;21.293
Jacarilla;1.556
Jalón/Xaló;2.086
Jávea/Xàbia;23.133
Jijona/Xixona;7.337
Lorcha/Orxa (l');788
Llíber;550
Millena;182
Monforte del Cid;5.260
Monóvar/Monòver;11.922
Mutxamel;14.693
Murla;333
Muro de Alcoy;7.252
Novelda;23.830
Nucia (la);8.616
Ondara;5.310
Onil;6.829
Orba;1.659
Orxeta;427
Orihuela;53.478
Parcent;857
Pedreguer;5.952
Pego;10.103
Penàguila;391
Petrer;28.765
Pinoso;6.186
Planes;815
Polop;2.136
Rafal;3.201
Ràfol d'Almúnia, el;402
Redován;5.450
Relleu;795
Rojales;7.321
Romana (la);1.995
Sagra;399
Salinas;1.215
Sanet y Negrals;547
San Fulgencio;3.706
San Juan de Alicante;16.895
San Miguel de Salinas;3.893
Santa Pola;18.922
San Vicente del Raspeig/Sant Vicent del Raspeig;37.883
Sax;8.625
Sella;591
Senija;509
Tárbena;693
Teulada;9.328
Tibi;1.205
Tollos;42
Tormos;303
Torremanzanas/Torre de les Maçanes (la);720
Torrevieja;50.189
Vall d'Alcalà (la);181
Vall de Ebo;355
Vall de Gallinera;578
Vall de Laguart;912
Verger (el);3.642
Villajoyosa/Vila Joiosa (la);23.704
Villena;31.760
Poblets (els);1.688
Pilar de la Horadada;11.495
Montesinos (Los);2.617
San Isidro;1.274
