Abla;1.516
Abrucena;1.455
Adra;21.505
Albánchez;586
Alboloduy;812
Albox;9.599
Alcolea;903
Alcóntar;656
Alcudia de Monteagud;209
Alhabia;672
Alhama de Almería;3.165
Alicún;236
Almería;168.945
Almócita;175
Alsodux;104
Antas;2.729
Arboleas;1.540
Armuña de Almanzora;322
Bacares;291
Bayárcal;320
Bayarque;238
Bédar;572
Beires;142
Benahadux;2.814
Benitagla;92
Benizalón;304
Bentarique;317
Berja;13.279
Canjáyar;1.667
Cantoria;3.147
Carboneras;6.530
Castro de Filabres;170
Cóbdar;227
Cuevas del Almanzora;9.645
Chercos;300
Chirivel;1.792
Dalías;3.634
Enix;289
Felix;571
Fines;1.741
Fiñana;2.537
Fondón;943
Gádor;2.593
Gallardos (Los);1.798
Garrucha;5.292
Gérgal;1.059
Huécija;558
Huércal de Almería;6.766
Huércal-Overa;13.999
Illar;474
Instinción;538
Laroya;107
Láujar de Andarax;1.833
Líjar;509
Lubrín;1.707
Lucainena de las Torres;656
Lúcar;767
Macael;5.767
María;1.654
Mojácar;4.825
Nacimiento;515
Níjar;16.269
Ohanes;765
Olula de Castro;192
Olula del Río;5.927
Oria;2.129
Padules;481
Partaloa;384
Paterna del Río;393
Pechina;2.763
Pulpí;5.477
Purchena;1.600
Rágol;390
Rioja;1.191
Roquetas de Mar;44.370
Santa Cruz de Marchena;208
Santa Fe de Mondújar;473
Senés;325
Serón;2.555
Sierro;471
Somontín;509
Sorbas;2.693
Suflí;256
Tabernas;3.210
Taberno;974
Tahal;407
Terque;430
Tíjola;3.757
Turre;2.331
Turrillas;250
Uleila del Campo;977
Urrácal;349
Velefique;314
Vélez-Blanco;2.061
Vélez-Rubio;6.519
Vera;6.930
Viator;3.567
Vícar;15.940
Zurgena;2.079
Tres Villas (Las);607
Ejido (El);53.008
Mojonera (La);6.590
