Allande;2.501
Aller;15.398
Amieva;905
Avilés;83.930
Belmonte de Miranda;2.304
Bimenes;2.174
Boal;2.529
Cabrales;2.371
Cabranes;1.269
Candamo;2.601
Cangas del Narcea;17.161
Cangas de Onís;6.343
Caravia;591
Carreño;10.557
Caso;1.990
Castrillón;22.593
Castropol;4.357
Coaña;3.692
Colunga;4.387
Corvera de Asturias;16.118
Cudillero;6.127
Degaña;1.528
Franco (El);4.154
Gijón;267.426
Gozón;11.194
Grado;11.666
Grandas de Salime;1.343
Ibias;2.190
Illano;639
Illas;1.126
Langreo;48.886
Laviana;14.804
Lena;13.901
Valdés;15.297
Llanera;11.991
Llanes;13.144
Mieres;49.506
Morcín;3.066
Muros de Nalón;2.291
Nava;5.656
Navia;9.079
Noreña;4.320
Onís;893
Oviedo;200.411
Parres;5.563
Peñamellera Alta;740
Peñamellera Baja;1.621
Pesoz;265
Piloña;8.892
Ponga;760
Pravia;9.419
Proaza;919
Quirós;1.664
Regueras (Las);2.174
Ribadedeva;1.891
Ribadesella;6.245
Ribera de Arriba;1.998
Riosa;2.578
Salas;6.938
San Martín del Rey Aurelio;20.794
San Martín de Oscos;524
Santa Eulalia de Oscos;591
San Tirso de Abres;643
Santo Adriano;335
Sariego;1.393
Siero;47.360
Sobrescobio;818
Somiedo;1.621
Soto del Barco;4.310
Tapia de Casariego;4.368
Taramundi;906
Teverga;2.264
Tineo;12.931
Vegadeo;4.759
Villanueva de Oscos;410
Villaviciosa;14.275
Villayón;1.966
Yernes y Tameza;223
