Acedera;969
Aceuchal;5.304
Ahillones;1.200
Alange;2.057
Albuera (La);1.804
Alburquerque;5.645
Alconchel;2.106
Alconera;721
Aljucén;255
Almendral;1.478
Almendralejo;27.610
Arroyo de San Serván;3.970
Atalaya;369
Azuaga;8.735
Badajoz;136.136
Barcarrota;3.742
Baterno;403
Benquerencia de la Serena;1.033
Berlanga;2.694
Bienvenida;2.364
Bodonal de la Sierra;1.265
Burguillos del Cerro;3.321
Cabeza del Buey;5.982
Cabeza la Vaca;1.646
Calamonte;6.002
Calera de León;1.112
Calzadilla de los Barros;848
Campanario;5.675
Campillo de Llerena;1.745
Capilla;225
Carmonita;652
Carrascalejo (El);73
Casas de Don Pedro;1.737
Casas de Reina;249
Castilblanco;1.385
Castuera;7.215
Codosera (La);2.397
Cordobilla de Lácara;1.038
Coronada (La);2.447
Corte de Peleas;1.289
Cristina;555
Cheles;1.326
Don Álvaro;677
Don Benito;31.454
Entrín Bajo;670
Esparragalejo;1.536
Esparragosa de la Serena;1.127
Esparragosa de Lares;1.167
Feria;1.435
Fregenal de la Sierra;5.379
Fuenlabrada de los Montes;2.078
Fuente de Cantos;5.039
Fuente del Arco;825
Fuente del Maestre;6.818
Fuentes de León;2.742
Garbayuela;583
Garlitos;799
Garrovilla (La);2.637
Granja de Torrehermosa;2.578
Guareña;7.474
Haba (La);1.467
Helechosa de los Montes;766
Herrera del Duque;3.913
Higuera de la Serena;1.224
Higuera de Llerena;449
Higuera de Vargas;2.221
Higuera la Real;2.584
Hinojosa del Valle;610
Hornachos;3.861
Jerez de los Caballeros;9.594
Lapa (La);328
Lobón;2.725
Llera;969
Llerena;5.621
Magacela;709
Maguilla;1.151
Malcocinado;546
Malpartida de la Serena;782
Manchita;770
Medellín;2.400
Medina de las Torres;1.512
Mengabril;462
Mérida;50.478
Mirandilla;1.364
Monesterio;4.679
Montemolín;1.696
Monterrubio de la Serena;3.093
Montijo;15.314
Morera (La);783
Nava de Santiago (La);1.179
Navalvillar de Pela;4.923
Nogales;788
Oliva de la Frontera;5.925
Oliva de Mérida;1.999
Olivenza;10.709
Orellana de la Sierra;377
Orellana la Vieja;3.397
Palomas;698
Parra (La);1.403
Peñalsordo;1.517
Peraleda del Zaucejo;664
Puebla de Alcocer;1.476
Puebla de la Calzada;5.525
Puebla de la Reina;885
Puebla del Maestre;938
Puebla del Prior;574
Puebla de Obando;2.043
Puebla de Sancho Pérez;2.875
Quintana de la Serena;5.134
Reina;226
Rena;669
Retamal de Llerena;556
Ribera del Fresno;3.423
Risco;216
Roca de la Sierra (La);1.633
Salvaleón;2.214
Salvatierra de los Barros;1.973
Sancti-Spíritus;309
San Pedro de Mérida;816
Santa Amalia;4.332
Santa Marta;4.102
Santos de Maimona (Los);7.924
San Vicente de Alcántara;5.908
Segura de León;2.296
Siruela;2.463
Solana de los Barros;2.768
Talarrubias;3.658
Talavera la Real;5.317
Táliga;766
Tamurejo;272
Torre de Miguel Sesmero;1.273
Torremayor;1.067
Torremejía;2.045
Trasierra;712
Trujillanos;1.358
Usagre;2.089
Valdecaballeros;1.423
Valdetorres;1.382
Valencia de las Torres;855
Valencia del Mombuey;817
Valencia del Ventoso;2.355
Valverde de Burguillos;375
Valverde de Leganés;3.767
Valverde de Llerena;829
Valverde de Mérida;1.150
Valle de la Serena;1.588
Valle de Matamoros;505
Valle de Santa Ana;1.221
Villafranca de los Barros;12.537
Villagarcía de la Torre;1.012
Villagonzalo;1.446
Villalba de los Barros;1.745
Villanueva de la Serena;23.875
Villanueva del Fresno;3.489
Villar del Rey;2.313
Villar de Rena;1.696
Villarta de los Montes;680
Zafra;15.158
Zahínos;3.043
Zalamea de la Serena;4.647
Zarza-Capilla;516
Zarza (La);3.586
Valdelacalzada;2.582
