Abrera;8.177
Aguilar de Segarra;213
Alella;8.413
Alpens;264
Ametlla del Vallès (L');5.697
Arenys de Mar;12.610
Arenys de Munt;6.242
Argençola;196
Argentona;9.482
Artés;4.368
Avià;1.845
Avinyó;1.999
Avinyonet del Penedès;1.167
Aiguafreda;2.147
Badalona;208.944
Bagà;2.078
Balenyà;3.125
Balsareny;3.230
Barcelona;1.496.266
Begues;4.189
Bellprat;95
Berga;14.305
Bigues i Riells;5.436
Borredà;485
Bruc (El);1.029
Brull (El);197
Cabanyes (Les);544
Cabrera d'Igualada;528
Cabrera de Mar;3.716
Cabrils;4.693
Calaf;3.016
Caldes d'Estrac;1.973
Caldes de Montbui;12.464
Calders;763
Calella;13.055
Calonge de Segarra;196
Calldetenes;2.006
Callús;1.329
Campins;292
Canet de Mar;10.138
Canovelles;13.016
Cànoves i Samalús;1.870
Canyelles;1.838
Capellades;4.881
Capolat;63
Cardedeu;12.078
Cardona;5.567
Carme;686
Casserres;1.634
Castellar del Riu;114
Castellar del Vallès;17.444
Castellar de n'Hug;188
Castellbell i el Vilar;2.753
Castellbisbal;7.887
Castellcir;366
Castelldefels;45.091
Castell de l'Areny;48
Castellet i la Gornal;1.404
Castellfollit del Boix;384
Castellfollit de Riubregós;233
Castellgalí;928
Castellnou de Bages;526
Castellolí;427
Castellterçol;2.000
Castellví de la Marca;1.445
Castellví de Rosanes;1.096
Centelles;5.793
Cervelló;6.064
Collbató;2.099
Collsuspina;254
Copons;271
Corbera de Llobregat;9.090
Cornellà de Llobregat;80.998
Cubelles;6.497
Dosrius;2.846
Esparreguera;17.060
Esplugues de Llobregat;45.668
Espunyola (L');276
Estany (L');398
Fígols;50
Fogars de Montclús;350
Fogars de la Selva;692
Folgueroles;1.598
Fonollosa;941
Font-rubí;1.200
Franqueses del Vallès (Les);12.300
Gallifa;156
Garriga (La);11.547
Gavà;39.220
Gaià;168
Gelida;4.354
Gironella;4.867
Gisclareny;26
Granada (La);1.329
Granera;59
Granollers;52.423
Gualba;783
Sant Salvador de Guardiola;1.994
Guardiola de Berguedà;1.013
Gurb;1.898
Hospitalet de Llobregat (L');241.782
Igualada;32.516
Jorba;572
Llacuna (La);849
Llagosta (La);11.933
Llinars del Vallès;6.877
Lliçà d'Amunt;9.595
Lliçà de Vall;5.070
Lluçà;288
Malgrat de Mar;13.686
Malla;255
Manlleu;17.520
Manresa;63.742
Martorell;21.314
Martorelles;4.895
Masies de Roda (Les);655
Masies de Voltregà (Les);2.703
Masnou (El);21.076
Masquefa;4.582
Matadepera;6.924
Mataró;104.659
Mediona;1.446
Molins de Rei;19.723
Mollet del Vallès;46.204
Montcada i Reixac;27.952
Montgat;8.305
Monistrol de Montserrat;2.490
Monistrol de Calders;597
Muntanyola;311
Montclar;117
Montesquiu;844
Montmajor;473
Montmaneu;194
Figaró-Montmany;825
Montmeló;8.437
Montornès del Vallès;12.426
Montseny;301
Moià;3.988
Mura;217
Navarcles;5.318
Navàs;5.722
Nou de Berguedà (La);153
Òdena;2.681
Olvan;899
Olèrdola;2.232
Olesa de Bonesvalls;942
Olesa de Montserrat;17.151
Olivella;1.319
Olost;1.160
Orís;226
Oristà;645
Orpí;147
Òrrius;420
Pacs del Penedès;653
Palafolls;5.235
Palau de Plegamans;11.089
Pallejà;7.258
Papiol (El);3.464
Parets del Vallès;14.478
Perafita;368
Piera;8.540
Hostalets de Pierola (Els);1.239
Pineda de Mar;20.057
Pla del Penedès (El);923
Pobla de Claramunt (La);1.656
Pobla de Lillet (La);1.455
Polinyà;4.657
Pontons;363
Prat de Llobregat (El);62.956
Prats de Rei (Els);537
Prats de Lluçanès;2.750
Premià de Mar;26.130
Puigdàlber;333
Puig-reig;4.319
Pujalt;178
Quar (La);79
Rajadell;456
Rellinars;378
Ripollet;29.877
Roca del Vallès (La);7.380
Pont de Vilomara i Rocafort (El);2.614
Roda de Ter;5.148
Rubí;58.646
Rubió;120
Sabadell;183.727
Sagàs;155
Sant Pere Sallavinera;155
Saldes;328
Sallent;7.159
Santpedor;5.352
Sant Iscle de Vallalta;839
Sant Adrià de Besòs;32.452
Sant Agustí de Lluçanès;121
Sant Andreu de la Barca;20.140
Sant Andreu de Llavaneres;7.161
Sant Antoni de Vilamajor;3.293
Sant Bartomeu del Grau;1.150
Sant Boi de Llobregat;79.337
Sant Boi de Lluçanès;540
Sant Celoni;12.734
Sant Cebrià de Vallalta;1.757
Sant Climent de Llobregat;2.950
Sant Cugat del Vallès;52.654
Sant Cugat Sesgarrigues;731
Sant Esteve de Palautordera;1.461
Sant Esteve Sesrovires;5.161
Sant Fost de Campsentelles;6.312
Sant Feliu de Codines;4.290
Sant Feliu de Llobregat;38.435
Sant Feliu Sasserra;657
Sant Fruitós de Bages;5.542
Vilassar de Dalt;7.484
Sant Hipòlit de Voltregà;3.005
Sant Jaume de Frontanyà;28
Sant Joan Despí;27.627
Sant Joan de Vilatorrada;9.145
Vilassar de Mar;17.000
Sant Julià de Vilatorta;2.269
Sant Just Desvern;14.030
Sant Llorenç d'Hortons;1.547
Sant Llorenç Savall;1.983
Sant Martí de Centelles;729
Sant Martí d'Albars;132
Sant Martí de Tous;982
Sant Martí Sarroca;2.478
Sant Martí Sesgueioles;342
Sant Mateu de Bages;491
Premià de Dalt;8.869
Sant Pere de Ribes;21.976
Sant Pere de Riudebitlles;2.076
Sant Pere de Torelló;2.160
Sant Pere de Vilamajor;2.547
Sant Pol de Mar;3.594
Sant Quintí de Mediona;1.679
Sant Quirze de Besora;1.978
Sant Quirze del Vallès;12.706
Sant Quirze Safaja;369
Sant Sadurní d'Anoia;9.539
Sant Sadurní d'Osormort;76
Marganell;243
Santa Cecília de Voltregà;202
Santa Coloma de Cervelló;4.691
Santa Coloma de Gramenet;117.127
