Abajas;48
Adrada de Haza;286
Aguas Cándidas;93
Aguilar de Bureba;86
Albillos;158
Alcocero de Mola;54
Alfoz de Bricia;149
Alfoz de Santa Gadea;179
Altable;58
Altos (Los);230
Ameyugo;77
Anguix;150
Aranda de Duero;29.762
Arandilla;206
Arauzo de Miel;395
Arauzo de Salce;75
Arauzo de Torre;109
Arcos;276
Arenillas de Riopisuerga;238
Arija;221
Arlanzón;404
Arraya de Oca;54
Atapuerca;202
Ausines (Los);144
Avellanosa de Muñó;162
Bahabón de Esgueva;139
Balbases (Los);368
Baños de Valdearados;464
Bañuelos de Bureba;45
Barbadillo de Herreros;151
Barbadillo del Mercado;167
Barbadillo del Pez;107
Barrio de Muñó;36
Barrios de Bureba (Los);266
Barrios de Colina;76
Basconcillos del Tozo;373
Bascuñana;66
Belbimbre;75
Belorado;2.093
Berberana;89
Berlangas de Roa;264
Berzosa de Bureba;53
Bozoó;115
Brazacorta;100
Briviesca;6.235
Bugedo;100
Buniel;188
Burgos;163.358
Busto de Bureba;229
Cabañes de Esgueva;268
Cabezón de la Sierra;73
Cabia;244
Caleruega;401
Campillo de Aranda;188
Campolara;97
Canicosa de la Sierra;645
Cantabrana;52
Carazo;48
Carcedo de Bureba;49
Carcedo de Burgos;152
Cardeñadijo;531
Cardeñajimeno;444
Cardeñuela Riopico;89
Carrias;50
Cascajares de Bureba;62
Cascajares de la Sierra;28
Castellanos de Castro;68
Castildelgado;82
Castil de Peones;33
Castrillo de la Reina;285
Castrillo de la Vega;592
Castrillo del Val;411
Castrillo de Riopisuerga;88
Castrillo Matajudíos;78
Castrojeriz;996
Cayuela;118
Cebrecos;80
Celada del Camino;99
Cerezo de Río Tirón;771
Cerratón de Juarros;81
Ciadoncha;124
Cillaperlata;64
Cilleruelo de Abajo;325
Cilleruelo de Arriba;82
Ciruelos de Cervera;166
Cogollos;242
Condado de Treviño;929
Contreras;119
Coruña del Conde;173
Covarrubias;629
Cubillo del Campo;72
