Alfoz de Lloredo;2.614
Ampuero;3.491
Anievas;381
Arenas de Iguña;2.041
Argoños;868
Arnuero;1.783
Arredondo;635
Astillero (El);13.348
Bárcena de Cicero;2.334
Bárcena de Pie de Concha;922
Bareyo;1.708
Cabezón de la Sal;7.182
Cabezón de Liébana;679
Cabuérniga;1.083
Camaleño;1.101
Camargo;22.749
Campoo de Yuso;739
Cartes;3.415
Castañeda;1.423
Castro-Urdiales;18.719
Cieza;682
Cillorigo de Liébana;1.103
Colindres;6.577
Comillas;2.359
Corrales de Buelna (Los);10.718
Corvera de Toranzo;2.046
Campoo de Enmedio;3.972
Entrambasaguas;2.473
Escalante;754
Guriezo;1.730
Hazas de Cesto;1.260
Hermandad de Campoo de Suso;1.895
Herrerías;786
Lamasón;393
Laredo;12.634
Liendo;831
Liérganes;2.270
Limpias;1.344
Luena;956
Marina de Cudeyo;4.765
Mazcuerras;1.869
Medio Cudeyo;6.087
Meruelo;1.121
Miengo;3.544
Miera;532
Molledo;1.935
Noja;2.019
Penagos;1.633
Peñarrubia;284
Pesaguero;402
Pesquera;95
Piélagos;11.862
Polaciones;294
Polanco;3.574
Potes;1.573
Puente Viesgo;2.358
Ramales de la Victoria;2.228
Rasines;963
Reinosa;11.193
Reocín;6.900
Ribamontán al Mar;3.651
Ribamontán al Monte;1.991
Rionansa;1.444
Riotuerto;1.509
Rozas de Valdearroyo (Las);325
Ruente;955
Ruesga;1.224
Ruiloba;721
San Felices de Buelna;2.168
San Miguel de Aguayo;158
San Pedro del Romeral;645
San Roque de Riomiera;528
Santa Cruz de Bezana;7.890
Santa María de Cayón;6.354
Santander;184.264
Santillana del Mar;3.909
Santiurde de Reinosa;321
Santiurde de Toranzo;1.627
Santoña;11.556
San Vicente de la Barquera;4.412
Saro;527
Selaya;2.010
Soba;1.677
Solórzano;995
Suances;6.456
Tojos (Los);398
Torrelavega;56.189
Tresviso;60
Tudanca;269
Udías;843
Valdáliga;2.541
Valdeolea;1.503
Valdeprado del Río;312
Valderredible;1.261
Val de San Vicente;2.560
Vega de Liébana;999
Vega de Pas;1.004
Villacarriedo;1.758
Villaescusa;3.177
Villafufre;1.145
Villaverde de Trucíos;367
Voto;2.227
