Atzeneta del Maestrat;1.438
Aín;167
Albocàsser;1.344
Alcalà de Xivert;5.456
Alcora (l');9.106
Alcudia de Veo;220
Alfondeguilla;908
Algimia de Almonacid;278
Almazora/Almassora;16.897
Almedíjar;275
Almenara;4.912
Altura;3.137
Arañuel;181
Ares del Maestre;254
Argelita;136
Artana;1.840
Ayódar;236
Azuébar;347
Barracas;159
Betxí;5.356
Bejís;383
Benafer;151
Benafigos;206
Benasal;1.388
Benicarló;19.908
Benicasim/Benicàssim;11.874
Benlloch;842
Borriol;3.576
Burriana;26.499
Cabanes;2.359
Càlig;1.744
Canet lo Roig;879
Castell de Cabres;22
Castellfort;236
Castellnovo;1.020
Castellón de la Plana/Castelló de la Plana;142.285
Castillo de Villamalefa;115
Catí;869
Caudiel;695
Cervera del Maestre;711
Cinctorres;520
Cirat;282
Cortes de Arenoso;406
Costur;463
Coves de Vinromà (les);1.810
Culla;771
Chert/Xert;894
Chilches;2.299
Chodos/Xodos;160
Chóvar;378
Eslida;769
Espadilla;73
Fanzara;250
Figueroles;581
Forcall;571
Fuente la Reina;29
Fuentes de Ayódar;110
Gaibiel;203
Geldo;689
Herbés;103
Higueras;39
Jana (la);812
Jérica;1.554
Lucena del Cid;1.538
Ludiente;225
Llosa (la);918
Mata de Morella (la);180
Matet;140
Moncofa;3.905
Montán;347
Montanejos;415
Morella;2.711
Navajas;541
Nules;11.453
Olocau del Rey;144
Onda;19.303
Oropesa del Mar/Orpesa;3.734
Palanques;21
Pavías;61
Peñíscola;4.548
Pina de Montalgrao;167
Portell de Morella;262
Puebla de Arenoso;164
Pobla de Benifassà (la);269
Pobla Tornesa (la);558
Ribesalbes;1.284
Rossell;1.119
Sacañet;84
Salzadella (la);814
San Jorge;581
Sant Mateu;1.806
San Rafael del Río;455
Santa Magdalena de Pulpis;723
Sarratella;87
Segorbe;7.839
Sierra Engarcerán;1.098
Soneja;1.379
Sot de Ferrer;422
Sueras/Suera;547
Tales;763
Teresa;345
Tírig;551
Todolella;144
Toga;103
Torás;258
Toro (El);336
Torralba del Pinar;75
Torreblanca;4.614
Torrechiva;76
Torre d'En Besora (la);210
Torre Endoménech;235
Traiguera;1.588
Useras/Useres (les);986
Vallat;57
Vall d'Alba;1.948
Vall de Almonacid;293
Vall d'Uixó (la);29.152
Vallibona;93
Vilafamés;1.471
Villafranca del Cid;2.635
Villahermosa del Río;452
Villamalur;141
Vilanova d'Alcolea;639
Villanueva de Viver;79
Vilar de Canes;183
Villarreal/Vila-real;41.531
Villavieja;3.366
Villores;63
Vinaròs;22.552
Vistabella del Maestrazgo;453
Viver;1.297
Zorita del Maestrazgo;138
Zucaina;215
Alquerías del Niño Perdido;3.543
Sant Joan de Moró;1.783
