Abia de la Obispalía;85
Acebrón (El);284
Alarcón;208
Albaladejo del Cuende;411
Albalate de las Nogueras;378
Albendea;178
Alberca de Záncara (La);1.741
Alcalá de la Vega;176
Alcantud;120
Alcázar del Rey;252
Alcohujate;68
Alconchel de la Estrella;223
Algarra;34
Aliaguilla;852
Almarcha (La);618
Almendros;340
Almodóvar del Pinar;520
Almonacid del Marquesado;556
Altarejos;318
Arandilla del Arroyo;45
Arcos de la Sierra;126
Chillarón de Cuenca;356
Arguisuelas;196
Arrancacepas;38
Atalaya del Cañavate;138
Barajas de Melo;732
Barchín del Hoyo;131
Bascuñana de San Pedro;47
Beamud;108
Belinchón;362
Belmonte;2.445
Belmontejo;268
Beteta;427
Boniches;200
Buciegas;86
Buenache de Alarcón;631
Buenache de la Sierra;119
Buendía;491
Campillo de Altobuey;1.663
Campillos-Paravientos;146
Campillos-Sierra;104
Canalejas del Arroyo;346
Cañada del Hoyo;361
Cañada Juncosa;350
Cañamares;583
Cañavate (El);251
Cañaveras;381
Cañaveruelas;240
Cañete;892
Cañizares;626
Carboneras de Guadazaón;1.026
Cardenete;722
Carrascosa;101
Carrascosa de Haro;153
Casas de Benítez;1.116
Casas de Fernando Alonso;1.431
Casas de Garcimolina;36
Casas de Guijarro;145
Casas de Haro;894
Casas de los Pinos;512
Casasimarro;3.047
Castejón;226
Castillejo de Iniesta;190
Castillejo-Sierra;48
Castillo-Albaráñez;31
Castillo de Garcimuñoz;212
Cervera del Llano;341
Cierva (La);60
Cuenca;45.707
Cueva del Hierro;52
Chumillas;40
Enguídanos;573
Fresneda de Altarejos;94
Fresneda de la Sierra;75
Frontera (La);214
Fuente de Pedro Naharro;1.218
Fuentelespino de Haro;316
Fuentelespino de Moya;140
Fuentes;506
Fuertescusa;112
Gabaldón;196
Garaballa;146
Gascueña;157
Graja de Campalbo;134
Graja de Iniesta;329
Henarejos;265
Herrumblar (El);787
Hinojosa (La);340
Hinojosos (Los);1.079
Hito (El);236
Honrubia;1.632
Hontanaya;453
Hontecillas;94
Horcajo de Santiago;3.585
Huélamo;142
Huelves;70
Huérguina;130
Huerta de la Obispalía;155
Huerta del Marquesado;230
Huete;2.229
Iniesta;3.945
Laguna del Marquesado;76
Lagunaseca;123
Landete;1.541
Ledaña;1.902
Leganiel;230
Majadas (Las);373
Mariana;317
Masegosa;127
Mesas (Las);2.469
Minglanilla;2.265
Mira;1.185
Monreal del Llano;83
Montalbanejo;197
Montalbo;754
Monteagudo de las Salinas;134
Mota de Altarejos;61
Mota del Cuervo;5.540
Motilla del Palancar;5.169
Moya;317
Narboneta;120
Olivares de Júcar;561
Olmeda de la Cuesta;49
Olmeda del Rey;248
Olmedilla de Alarcón;179
Olmedilla de Eliz;31
Osa de la Vega;643
Pajarón;140
Pajaroncillo;97
Palomares del Campo;1.007
Palomera;165
Paracuellos;155
Paredes;78
Parra de las Vegas (La);62
Pedernoso (El);1.321
Pedroñeras (Las);6.460
Peral (El);730
Peraleja (La);171
Pesquera (La);282
Picazo (El);709
Pinarejo;409
Pineda de Gigüela;150
Piqueras del Castillo;81
Portalrubio de Guadamejud;90
Portilla;93
Poyatos;115
Pozoamargo;328
Pozorrubio;501
Pozuelo (El);88
Priego;1.035
Provencio (El);2.555
Puebla de Almenara;550
Puebla de Don Francisco;369
Puebla del Salvador;286
Quintanar del Rey;6.175
Rada de Haro;62
Reíllo;144
Rozalén del Monte;120
Saceda-Trasierra;98
Saelices;672
Salinas del Manzano;118
Salmeroncillos;184
Salvacañete;336
San Clemente;6.368
San Lorenzo de la Parrilla;1.438
San Martín de Boniches;99
San Pedro Palmiches;96
Santa Cruz de Moya;416
Santa María del Campo Rus;764
Santa María de los Llanos;845
Santa María del Val;122
Sisante;1.799
Solera de Gabaldón;53
Talayuelas;1.181
Tarancón;11.490
Tébar;403
Tejadillos;165
Tinajas;365
Torralba;187
Torrejoncillo del Rey;695
Torrubia del Campo;357
Torrubia del Castillo;41
Tragacete;364
Tresjuncos;498
Tribaldos;144
Uclés;313
Uña;141
Valdemeca;109
Valdemorillo de la Sierra;99
Valdemoro-Sierra;202
Valdeolivas;289
Valhermoso de la Fuente;58
Valsalobre;64
Valverde de Júcar;1.407
Valverdejo;153
Vara de Rey;686
Vega del Codorno;229
Vellisca;178
Villaconejos de Trabaque;513
Villaescusa de Haro;595
Villagarcía del Llano;967
Villalba de la Sierra;547
Villalba del Rey;698
Villalgordo del Marquesado;126
Villalpardo;1.120
Villamayor de Santiago;2.716
Villanueva de Guadamejud;125
Villanueva de la Jara;2.483
Villar de Cañas;446
Villar de Domingo García;288
Villar de la Encina;237
Villar del Humo;466
Villar del Infantado;44
Villar de Olalla;920
Villarejo de Fuentes;809
Villarejo de la Peñuela;32
Villarejo-Periesteban;545
Villares del Saz;698
Villarrubio;256
Villarta;818
Villas de la Ventosa;374
Villaverde y Pasaconsol;434
Víllora;238
Vindel;20
Yémeda;32
Zafra de Záncara;201
Zafrilla;132
Zarza de Tajo;270
Zarzuela;295
Campos del Paraíso;1.107
Valdetórtola;141
Valeras (Las);1.352
Fuentenava de Jábaga;390
Arcas del Villar;681
Valdecolmenas (Los);121
Pozorrubielos de la Mancha;301
Sotorribas;1.021
Villar y Velasco;123
