Adamuz;4.465
Aguilar de la Frontera;13.393
Alcaracejos;1.469
Almedinilla;2.527
Almodóvar del Río;7.013
Añora;1.618
Baena;19.725
Belalcázar;3.768
Belmez;3.924
Benamejí;4.788
Blázquez (Los);714
Bujalance;8.051
Cabra;20.711
Cañete de las Torres;3.328
Carcabuey;2.868
Cardeña;1.907
Carlota (La);10.471
Carpio (El);4.465
Castro del Río;8.040
Conquista;501
Córdoba;313.463
Doña Mencía;4.946
Dos Torres;2.586
Encinas Reales;2.401
Espejo;3.963
Espiel;2.441
Fernán-Núñez;9.497
Fuente la Lancha;411
Fuente Obejuna;5.890
Fuente Palmera;9.897
Fuente-Tójar;817
Granjuela (La);496
Guadalcázar;1.168
Guijo (El);394
Hinojosa del Duque;7.928
Hornachuelos;4.860
Iznájar;5.077
Lucena;36.445
Luque;3.363
Montalbán de Córdoba;4.558
Montemayor;3.813
Montilla;22.973
Montoro;9.457
Monturque;1.962
Moriles;3.797
Nueva Carteya;5.583
Obejo;1.509
Palenciana;1.571
Palma del Río;19.266
Pedro Abad;2.893
Pedroche;1.843
Peñarroya-Pueblonuevo;13.024
Posadas;7.101
Pozoblanco;16.282
Priego de Córdoba;22.053
Puente Genil;27.909
Rambla (La);7.299
Rute;9.923
San Sebastián de los Ballesteros;852
Santaella;5.878
Santa Eufemia;1.148
Torrecampo;1.416
Valenzuela;1.440
Valsequillo;450
Victoria (La);1.786
Villa del Río;7.171
Villafranca de Córdoba;3.625
Villaharta;642
Villanueva de Córdoba;9.807
Villanueva del Duque;1.808
Villanueva del Rey;1.258
Villaralto;1.526
Villaviciosa de Córdoba;3.854
Viso (El);3.071
Zuheros;900
