Agullana;655
Aiguaviva;515
Albanyà;128
Albons;572
Far d'Empordà (El);387
Alp;1.194
Amer;2.220
Anglès;5.009
Arbúcies;5.026
Argelaguer;379
Armentera (L');756
Avinyonet de Puigventós;618
Begur;3.411
Vajol (La);96
Banyoles;15.084
Bàscara;822
Bellcaire d'Empordà;535
Besalú;1.996
Bescanó;3.187
Beuda;133
Bisbal d'Empordà (La);8.264
Blanes;30.441
Bolvir;284
Bordils;1.383
Borrassà;533
Breda;3.345
Brunyola;383
Boadella d'Empordà;219
Cabanes;798
Cabanelles;226
Cadaqués;2.301
Caldes de Malavella;4.031
Calonge;6.783
Camós;637
Campdevànol;3.370
Campelles;125
Campllong;307
Camprodon;2.319
Canet d'Adri;519
Cantallops;267
Capmany;409
Queralbs;201
Cassà de la Selva;7.692
Castellfollit de la Roca;963
Castelló d'Empúries;6.266
Castell-Platja d'Aro;6.688
Celrà;2.635
Cervià de Ter;607
Cistella;231
Siurana;159
Colera;592
Colomers;196
Cornellà del Terri;1.921
Corçà;1.153
Crespià;205
Darnius;517
Das;158
Escala (L');6.285
Espinelves;179
Espolla;373
Esponellà;402
Figueres;34.023
Flaçà;845
Foixà;322
Fontanals de Cerdanya;399
Fontanilles;153
Fontcoberta;1.110
Fornells de la Selva;1.489
Fortià;525
Garrigàs;339
Garrigoles;150
Garriguella;726
Ger;375
Girona;73.637
Gombrèn;235
Gualta;293
Guils de Cerdanya;334
Hostalric;2.901
Isòvol;204
Jafre;317
Jonquera (La);2.565
Juià;266
Lladó;502
Llagostera;5.769
Llambilles;472
Llanars;489
Llançà;4.063
Llers;954
Llívia;1.013
Lloret de Mar;20.045
Llosses (Les);275
Madremanya;185
Maià de Montcal;321
Meranges;83
Masarac;245
Massanes;542
Maçanet de Cabrenys;664
Maçanet de la Selva;3.814
Mieres;336
Mollet de Peralada;189
Molló;339
Montagut;792
Mont-ras;1.644
Navata;708
Ogassa;242
Olot;27.967
Ordis;285
Osor;464
Palafrugell;18.154
Palamós;14.959
Palau de Santa Eulàlia;90
Palau-saverdera;931
Palau-sator;293
Palol de Revardit;386
Pals;1.912
Pardines;143
Parlavà;330
Pau;417
Pedret i Marzà;127
Pera (La);367
Peralada;1.277
Planes d'Hostoles (Les);1.724
Planoles;273
Pont de Molins;430
Pontós;217
Porqueres;3.622
Portbou;1.511
Preses (Les);1.373
Port de la Selva (El);877
Puigcerdà;6.902
Quart;2.402
Rabós;145
Regencós;287
Ribes de Freser;2.096
Riells i Viabrea;2.043
Ripoll;10.733
Riudarenes;1.302
Riudaura;417
Riudellots de la Selva;1.548
Riumors;192
Roses;12.857
Rupià;190
Sales de Llierca;89
Salt;22.017
Sant Andreu Salou;138
Sant Climent Sescebes;404
Sant Feliu de Buixalleu;727
Sant Feliu de Guíxols;18.403
Sant Feliu de Pallerols;1.155
Sant Ferriol;196
Sant Gregori;2.335
Sant Hilari Sacalm;4.985
Sant Jaume de Llierca;714
Sant Jordi Desvalls;587
Sant Joan de les Abadesses;3.672
Sant Joan de Mollet;354
Sant Julià de Ramis;2.018
Vallfogona de Ripollès;219
Sant Llorenç de la Muga;182
Sant Martí de Llémena;478
Sant Martí Vell;161
Sant Miquel de Campmajor;206
Sant Miquel de Fluvià;625
Sant Mori;158
Sant Pau de Segúries;655
Sant Pere Pescador;1.428
Santa Coloma de Farners;8.867
Santa Cristina d'Aro;2.902
Santa Llogaia d'Àlguema;300
Sant Aniol de Finestres;270
Santa Pau;1.484
Sant Joan les Fonts;2.756
Sarrià de Ter;3.457
Saus;688
Selva de Mar (La);190
Cellera de Ter (La);2.019
Serinyà;837
Serra de Daró;186
Setcases;163
Sils;3.078
Susqueda;87
Tallada d'Empordà (La);332
Terrades;200
Torrent;172
Torroella de Fluvià;319
Torroella de Montgrí;8.454
Tortellà;717
Toses;151
Tossa de Mar;4.195
Ultramort;203
Ullà;814
Ullastret;234
Urús;188
Vall d'en Bas (La);2.552
Vall de Bianya (La);1.130
Vall-llobrega;377
Ventalló;608
Verges;1.134
Vidrà;158
Vidreres;4.740
Vilabertran;784
Vilablareix;1.842
Viladasens;185
Viladamat;417
Vilademuls;720
Viladrau;856
Vilafant;4.100
Vilaür;125
Vilajuïga;953
Vilallonga de Ter;421
Vilamacolum;261
Vilamalla;761
Vilamaniscle;120
Vilanant;308
Vila-sacra;383
Vilopriu;161
Vilobí d'Onyar;2.223
Biure;217
Cruïlles, Monells i Sant Sadurní de l'Heura;1.096
Forallac;1.650
Sant Julià del Llor i Bonmatí;921
