Abánades;116
Ablanque;153
Adobes;41
Alaminos;81
Alarilla;136
Albalate de Zorita;910
Albares;484
Albendiego;46
Alcocer;313
Alcolea de las Peñas;29
Alcolea del Pinar;413
Alcoroches;182
Aldeanueva de Guadalajara;104
Algar de Mesa;80
Algora;124
Alhóndiga;225
Alique;40
Almadrones;97
Almoguera;1.009
Almonacid de Zorita;870
Alocén;146
Alovera;1.864
Alustante;253
Angón;45
Anguita;275
Anquela del Ducado;94
Anquela del Pedregal;24
Aranzueque;378
Arbancón;217
Arbeteta;87
Argecilla;107
Armallones;63
Armuña de Tajuña;108
Arroyo de las Fraguas;42
Atanzón;98
Atienza;465
Auñón;255
Azuqueca de Henares;19.491
Baides;80
Baños de Tajo;29
Bañuelos;31
Barriopedro;32
Berninches;117
Bodera (La);56
Brihuega;2.895
Budia;281
Bujalaro;88
Bustares;95
Cabanillas del Campo;2.717
Campillo de Dueñas;132
Campillo de Ranas;152
Campisábalos;76
Canredondo;103
Cantalojas;158
Cañizar;104
Cardoso de la Sierra (El);93
Casa de Uceda;108
Casar (El);3.404
Casas de San Galindo;35
Caspueñas;79
Castejón de Henares;107
Castellar de la Muela;55
Castilforte;47
Castilnuevo;11
Cendejas de Enmedio;124
Cendejas de la Torre;89
Centenera;72
Cifuentes;2.195
Cincovillas;41
Ciruelas;117
Ciruelos del Pinar;58
Cobeta;117
Cogollor;50
Cogolludo;610
Condemios de Abajo;29
Condemios de Arriba;161
Congostrina;45
Copernal;31
Corduente;456
Cubillo de Uceda (El);131
Checa;410
Chequilla;21
Chiloeches;1.040
Chillarón del Rey;123
Driebes;363
Durón;122
Embid;66
Escamilla;127
Escariche;192
Escopete;60
Espinosa de Henares;576
Esplegares;63
Establés;45
Estriégana;25
Fontanar;958
Fuembellida;16
Fuencemillán;107
Fuentelahiguera de Albatages;159
Fuentelencina;181
Fuentelsaz;133
Fuentelviejo;68
Fuentenovilla;226
Gajanejos;79
Galápagos;316
Galve de Sorbe;157
Gascueña de Bornova;48
Guadalajara;66.103
Henche;89
Heras de Ayuso;116
Herrería;33
Hiendelaencina;135
Hijes;26
Hita;257
Hombrados;43
Hontoba;187
Horche;1.463
Hortezuela de Océn;81
Huerce (La);41
Huérmeces del Cerro;61
Huertahernando;70
Hueva;142
Humanes;1.209
Illana;675
Iniéstola;14
Inviernas (Las);98
Irueste;68
Jadraque;1.274
Jirueque;91
Ledanca;134
Loranca de Tajuña;346
Lupiana;262
Luzaga;114
Luzón;82
Majaelrayo;56
Málaga del Fresno;212
Malaguilla;145
Mandayona;430
Mantiel;88
Maranchón;248
Marchamalo;4.299
Masegoso de Tajuña;105
Matarrubia;51
Matillas;203
Mazarete;71
Mazuecos;367
Medranda;126
Megina;79
Membrillera;99
Miedes de Atienza;99
Mierla (La);26
Milmarcos;116
Millana;114
Miñosa (La);47
Mirabueno;120
Miralrío;90
Mochales;114
Mohernando;123
Molina de Aragón;3.304
Monasterio;17
Mondéjar;2.138
Montarrón;58
Moratilla de los Meleros;96
Morenilla;55
Muduex;114
Navas de Jadraque (Las);29
Negredo;21
Ocentejo;53
Olivar (El);134
Olmeda de Cobeta;72
Olmeda de Jadraque (La);32
Ordial (El);51
Orea;289
Pálmaces de Jadraque;69
Pardos;64
Paredes de Sigüenza;55
Pareja;504
Pastrana;1.128
Pedregal (El);106
Peñalén;138
Peñalver;237
Peralejos de las Truchas;170
Peralveche;166
Pinilla de Jadraque;88
Pinilla de Molina;26
Pioz;431
Piqueras;71
Pobo de Dueñas (El);172
Poveda de la Sierra;195
Pozo de Almoguera;181
Pozo de Guadalajara;381
Prádena de Atienza;46
Prados Redondos;84
Puebla de Beleña;46
Puebla de Valles;70
Quer;82
Rebollosa de Jadraque;32
Recuenco (El);111
Renera;64
Retiendas;54
Riba de Saelices;171
Rillo de Gallo;60
Riofrío del Llano;63
Robledillo de Mohernando;174
Robledo de Corpes;104
Romanillos de Atienza;63
Romanones;140
Rueda de la Sierra;66
Sacecorbo;161
Sacedón;1.554
Saelices de la Sal;66
Salmerón;252
San Andrés del Congosto;84
San Andrés del Rey;46
Santiuste;26
Saúca;73
Sayatón;150
Selas;60
Setiles;162
Sienes;83
Sigüenza;4.594
Solanillos del Extremo;124
Somolinos;51
Sotillo (El);47
Sotodosos;64
Tamajón;238
Taragudo;33
Taravilla;72
Tartanedo;195
Tendilla;338
Terzaga;32
Tierzo;53
Toba (La);120
Tordelrábano;12
Tordellego;74
Tordesilos;139
Torija;449
Torrecuadrada de Molina;22
Torrecuadradilla;61
Torre del Burgo;74
Torrejón del Rey;1.211
Torremocha de Jadraque;18
Torremocha del Campo;317
Torremocha del Pinar;67
Torremochuela;16
Torrubia;44
Tórtola de Henares;434
Tortuera;223
Tortuero;37
Traíd;62
Trijueque;465
Trillo;1.387
Uceda;930
Ujados;33
Utande;57
Valdarachas;28
Valdearenas;81
Valdeavellano;89
Valdeaveruelo;318
Valdeconcha;85
Valdegrudas;57
Valdelcubo;66
Valdenuño Fernández;152
Valdepeñas de la Sierra;226
Valderrebollo;37
Valdesotos;38
Valfermoso de Tajuña;103
Valhermoso;48
Valtablado del Río;14
Valverde de los Arroyos;102
Viana de Jadraque;53
Villanueva de Alcorón;279
Villanueva de Argecilla;40
Villanueva de la Torre;1.309
Villares de Jadraque;54
Villaseca de Henares;72
Villaseca de Uceda;67
Villel de Mesa;255
Viñuelas;125
Yebes;167
Yebra;524
Yélamos de Abajo;112
Yélamos de Arriba;167
Yunquera de Henares;2.039
Yunta (La);168
Zaorejas;206
Zarzuela de Jadraque;44
Zorita de los Canes;96
Semillas;42
