Alájar;776
Aljaraque;10.806
Almendro (El);864
Almonaster la Real;1.963
Almonte;17.444
Alosno;4.834
Aracena;6.756
Aroche;3.503
Arroyomolinos de León;1.157
Ayamonte;16.939
Beas;4.124
Berrocal;409
Bollullos Par del Condado;12.822
Bonares;5.122
Cabezas Rubias;962
Cala;1.414
Calañas;4.725
Campillo (El);2.430
Campofrío;844
Cañaveral de León;501
Cartaya;12.584
Castaño del Robledo;200
Cerro de Andévalo (El);2.741
Corteconcepción;672
Cortegana;5.084
Cortelazor;317
Cumbres de Enmedio;62
Cumbres de San Bartolomé;575
Cumbres Mayores;2.119
Chucena;1.964
Encinasola;1.789
Escacena del Campo;2.190
Fuenteheridos;636
Galaroza;1.603
Gibraleón;10.827
Granada de Río-Tinto (La);222
Granado (El);661
Higuera de la Sierra;1.258
Hinojales;432
Hinojos;3.556
Huelva;140.985
Isla Cristina;18.236
Jabugo;2.558
Lepe;19.086
Linares de la Sierra;316
Lucena del Puerto;2.237
Manzanilla;2.504
Marines (Los);328
Minas de Riotinto;4.888
Moguer;14.389
Nava (La);319
Nerva;6.413
Niebla;3.847
Palma del Condado (La);9.695
Palos de la Frontera;7.115
Paterna del Campo;3.894
Paymogo;1.269
Puebla de Guzmán;3.253
Puerto Moral;254
Punta Umbría;11.987
Rociana del Condado;6.292
Rosal de la Frontera;1.865
San Bartolomé de la Torre;2.945
San Juan del Puerto;5.933
Sanlúcar de Guadiana;397
San Silvestre de Guzmán;647
Santa Ana la Real;509
Santa Bárbara de Casa;1.337
Santa Olalla del Cala;2.244
Trigueros;7.213
Valdelarco;275
Valverde del Camino;12.480
Villablanca;2.053
Villalba del Alcor;3.604
Villanueva de las Cruces;423
Villanueva de los Castillejos;2.682
Villarrasa;2.130
Zalamea la Real;3.455
Zufre;1.054
