Abiego;292
Abizanda;137
Adahuesca;154
Agüero;172
Aisa;383
Albalate de Cinca;1.149
Albalatillo;258
Albelda;937
Albero Alto;101
Albero Bajo;109
Alberuela de Tubo;388
Alcalá de Gurrea;319
Alcalá del Obispo;356
Alcampell;911
Alcolea de Cinca;1.214
Alcubierre;467
Alerre;195
Alfántega;117
Almudévar;2.324
Almunia de San Juan;682
Almuniente;621
Alquézar;310
Altorricón;1.462
Angüés;435
Ansó;529
Antillón;164
Aragüés del Puerto;135
Arén;384
Argavieso;129
Arguis;68
Ayerbe;1.106
Azanuy-Alins;193
Azara;216
Azlor;158
Baélls;153
Bailo;307
Baldellou;144
Ballobar;1.062
Banastás;190
Barbastro;14.671
Barbués;122
Barbuñales;112
Bárcabo;113
Belver de Cinca;1.368
Benabarre;1.139
Benasque;1.496
Berbegal;466
Bielsa;474
Bierge;223
Biescas;1.294
Binaced;1.589
Binéfar;8.228
Bisaurri;216
Biscarrués;232
Blecua y Torres;182
Boltaña;855
Bonansa;76
Borau;74
Broto;518
Caldearenas;259
Campo;342
Camporrélls;248
Canal de Berdún;434
Candasnos;538
Canfranc;531
Capdesaso;173
Capella;393
Casbas de Huesca;304
Castejón del Puente;423
Castejón de Monegros;707
Castejón de Sos;572
Castelflorite;148
Castiello de Jaca;185
Castigaleu;102
Castillazuelo;230
Castillonroy;423
Colungo;124
Chalamera;159
Chía;113
Chimillas;186
Esplús;756
Estada;206
Estadilla;913
Estopiñán del Castillo;181
Fago;39
Fanlo;176
Fiscal;254
Fonz;1.113
Foradada del Toscar;242
Fraga;12.000
Fueva (La);615
Gistaín;175
Grado (El);566
Grañén;1.966
Graus;3.199
Gurrea de Gállego;1.834
Hoz de Jaca;77
Huerto;263
Huesca;45.653
Ibieca;101
Igriés;225
Ilche;279
Isábena;253
Jaca;11.414
Jasa;127
Labuerda;172
Laluenga;266
Lalueza;1.207
Lanaja;1.569
Laperdiguera;99
Lascellas-Ponzano;164
Lascuarre;164
Laspaúles;290
Laspuña;274
Loarre;407
Loporzano;519
Loscorrales;120
Monesma y Cajigar;102
Monflorite-Lascasas;201
Montanuy;307
Monzón;14.665
Naval;295
Novales;184
Nueno;240
Olvena;56
Ontiñena;652
Osso de Cinca;730
Palo;27
Panticosa;709
Peñalba;795
Peñas de Riglos (Las);279
Peralta de Alcofea;725
Peralta de Calasanz;271
Peraltilla;169
Perarrúa;127
Pertusa;153
Piracés;100
Plan;322
Poleñino;260
Pozán de Vero;259
Puebla de Castro (La);335
Puente de Montañana;127
Puértolas;209
Pueyo de Araguás (El);160
Pueyo de Santa Cruz;340
Quicena;149
Robres;670
Sabiñánigo;8.483
Sahún;289
Salas Altas;380
Salas Bajas;142
Salillas;117
Sallent de Gállego;1.053
San Esteban de Litera;604
Sangarrén;279
San Juan de Plan;152
Santa Cilia;170
Santa Cruz de la Serós;139
Santaliestra y San Quílez;95
Sariñena;4.021
Secastilla;162
Seira;209
Sena;562
Senés de Alcubierre;61
Sesa;260
Sesué;119
Siétamo;366
Sopeira;113
Tamarite de Litera;3.751
Tardienta;1.070
Tella-Sin;275
Tierz;180
Tolva;197
Torla;317
Torralba de Aragón;126
Torre la Ribera;116
Torrente de Cinca;1.081
Torres de Alcanadre;137
Torres de Barbués;363
Tramaced;106
Valfarta;96
Valle de Bardají;56
Valle de Lierp;59
Velilla de Cinca;479
Veracruz;111
Viacamp y Litera;30
Vicién;125
Villanova;140
Villanúa;345
Villanueva de Sigena;508
Yebra de Basa;166
Yésero;76
Zaidín;1.669
Valle de Hecho;992
Puente la Reina de Jaca;232
San Miguel del Cinca;915
Sotonera (La);1.108
Lupiñén-Ortilla;359
Santa María de Dulcis;216
Aínsa-Sobrarbe;1.595
Hoz y Costean;224
Vencillón;465
