Alaró;4.032
Alaior;7.390
Alcúdia;12.152
Algaida;3.753
Andratx;8.655
Artà;6.140
Banyalbufar;520
Binissalem;5.193
Búger;932
Bunyola;4.745
Calvià;37.419
Campanet;2.346
Campos;7.074
Capdepera;8.008
Ciutadella de Menorca;22.925
Consell;2.327
Costitx;903
Deyá;652
Escorca;318
Esporles;3.993
Estellencs;357
Felanitx;15.238
Ferreries;4.061
Formentera;6.289
Fornalutx;627
Eivissa;33.223
Inca;22.402
Lloret de Vista Alegre;933
Lloseta;4.630
Llubí;1.909
Llucmajor;23.723
Mahón;23.189
Manacor;30.923
Mancor de la Vall;914
Maria de la Salut;1.819
Marratxí;20.924
Mercadal (Es);3.104
Montuïri;2.317
Muro;6.340
Palma de Mallorca;333.925
Petra;2.600
Pollença;14.358
Porreres;4.283
Pobla (Sa);10.347
Puigpunyent;1.249
Sant Antoni de Portmany;15.775
Sencelles;2.125
San José;14.428
Sant Joan;1.686
Sant Joan de Labritja;4.194
Sant Llorenç des Cardassar;6.211
Sant Lluís;4.395
Santa Eugènia;1.228
Santa Eulalia del Río;21.991
Santa Margalida;7.943
Santa María del Camí;4.740
Santanyí;8.957
Selva;2.983
Salines (Ses);3.528
Sineu;2.724
Sóller;11.521
Son Servera;9.562
Valldemosa;1.670
Castell (Es);6.504
Vilafranca de Bonany;2.366
Ariany;790
Migjorn Gran (Es);1.148
