Albánchez de Úbeda;1.497
Alcalá la Real;21.599
Alcaudete;11.367
Aldeaquemada;602
Andújar;37.621
Arjona;5.634
Arjonilla;3.917
Arquillos;1.970
Baeza;15.738
Bailén;17.472
Baños de la Encina;2.721
Beas de Segura;8.029
Begíjar;3.136
Bélmez de la Moraleda;1.959
Benatae;574
Cabra del Santo Cristo;2.250
Cambil;3.108
Campillo de Arenas;2.179
Canena;2.122
Carboneros;679
Carolina (La);14.938
Castellar;3.676
Castillo de Locubín;5.166
Cazalilla;829
Cazorla;8.397
Chiclana de Segura;1.346
Chilluévar;1.721
Escañuela;935
Espelúy;788
Frailes;1.858
Fuensanta de Martos;3.330
Fuerte del Rey;1.157
Génave;691
Guardia de Jaén (La);2.062
Guarromán;2.802
Lahiguera;1.913
Higuera de Calatrava;691
Hinojares;501
Hornos;718
Huelma;6.232
Huesa;2.719
Ibros;3.015
Iruela (La);1.907
Iznatoraf;1.218
Jabalquinto;2.547
Jaén;110.781
Jamilena;3.301
Jimena;1.582
Jódar;11.805
Larva;521
Linares;58.034
Lopera;3.978
Lupión;1.050
Mancha Real;9.012
Marmolejo;7.549
Martos;22.732
Mengíbar;8.339
Montizón;1.969
Navas de San Juan;5.155
Noalejo;2.278
Orcera;2.258
Peal de Becerro;5.310
Pegalajar;3.074
Porcuna;6.941
Pozo Alcón;5.618
Puente de Génave;1.972
Puerta de Segura (La);2.677
Quesada;6.089
Rus;3.747
Sabiote;4.192
Santa Elena;992
Santiago de Calatrava;916
Santisteban del Puerto;4.863
Santo Tomé;2.315
Segura de la Sierra;2.204
Siles;2.636
Sorihuela del Guadalimar;1.238
Torreblascopedro;2.976
Torre del Campo;13.052
Torredonjimeno;13.846
Torreperogil;7.424
Torres;1.816
Torres de Albánchez;1.021
Úbeda;32.456
Valdepeñas de Jaén;4.509
Vilches;5.030
Villacarrillo;11.067
Villanueva de la Reina;3.304
Villanueva del Arzobispo;8.650
Villardompardo;1.258
Villares (Los);4.851
Villarrodrigo;565
Cárcheles;1.537
Bedmar y Garcíez;3.268
Villatorres;4.197
Santiago-Pontones;4.425
