Ábalos;276
Agoncillo;875
Aguilar del Río Alhama;687
Ajamil;61
Albelda de Iregua;2.299
Alberite;2.012
Alcanadre;793
Aldeanueva de Ebro;2.491
Alesanco;480
Alesón;142
Alfaro;9.083
Almarza de Cameros;39
Anguciana;45
Anguiano;585
Arenzana de Abajo;308
Arenzana de Arriba;39
Arnedillo;439
Arnedo;12.855
Arrúbal;434
Ausejo;700
Autol;1.959
Azofra;344
Badarán;729
Bañares;390
Baños de Rioja;110
Baños de Río Tobía;1.758
Berceo;222
Bergasa;137
Bergasillas Bajera;30
Bezares;31
Bobadilla;162
Brieva de Cameros;70
Briñas;206
Briones;818
Cabezón de Cameros;30
Calahorra;18.924
Camprovín;216
Canales de la Sierra;83
Canillas de Río Tuerto;67
Cañas;111
Cárdenas;241
Casalarreina;901
Castañares de Rioja;459
Castroviejo;61
Cellorigo;21
Cenicero;2.055
Cervera del Río Alhama;2.960
Cidamón;46
Cihuri;153
Cirueña;122
Clavijo;190
Cordovín;213
Corera;250
Cornago;567
Corporales;62
Cuzcurrita de Río Tirón;470
Daroca de Rioja;53
Enciso;169
Entrena;1.130
Estollo;144
Ezcaray;1.861
Foncea;123
Fonzaleche;168
Fuenmayor;2.301
Galbárruli;71
Galilea;278
Gallinero de Cameros;27
Gimileo;91
Grañón;412
Grávalos;273
Haro;9.245
Herce;352
Herramélluri;162
Hervías;180
Hormilla;465
Hormilleja;174
Hornillos de Cameros;22
Hornos de Moncalvillo;95
Huércanos;889
Igea;766
Jalón de Cameros;47
Laguna de Cameros;176
Lagunilla del Jubera;332
Lardero;3.183
Ledesma de la Cogolla;21
Leiva;291
Leza de Río Leza;28
Logroño;128.493
Lumbreras;156
Manjarrés;142
Mansilla de la Sierra;49
Manzanares de Rioja;116
Matute;23
Medrano;211
Munilla;120
Murillo de Río Leza;1.461
Muro de Aguas;70
Muro en Cameros;40
Nájera;7.076
Nalda;813
Navajún;18
Navarrete;2.087
Nestares;73
Nieva de Cameros;114
Ocón;328
Ochánduri;100
Ojacastro;249
Ollauri;306
Ortigosa de Cameros;316
Pazuengos;46
Pedroso;108
Pinillos;31
Pradejón;3.019
Pradillo;79
Préjano;214
Quel;1.888
Rabanera;38
Rasillo de Cameros (El);111
Redal (El);200
Ribafrecha;967
Rincón de Soto;2.474
Robres del Castillo;16
Rodezno;318
Sajazarra;139
San Asensio;1.195
San Millán de la Cogolla;264
San Millán de Yécora;51
San Román de Cameros;162
Santa Coloma;142
Santa Engracia del Jubera;201
Santa Eulalia Bajera;119
Santo Domingo de la Calzada;5.724
San Torcuato;97
Santurde de Rioja;290
Santurdejo;184
San Vicente de la Sonsierra;1.104
Sojuela;81
Sorzano;218
Sotés;217
Soto en Cameros;165
Terroba;32
Tirgo;267
Tobía;40
Tormantos;213
Torrecilla en Cameros;555
Torrecilla sobre Alesanco;78
Torre en Cameros;14
Torremontalbo;16
Treviana;251
Tricio;338
Tudelilla;422
Uruñuela;738
Valdemadera;13
Valgañón;157
Ventosa;131
Ventrosa;87
Viguera;357
Villalba de Rioja;148
Villalobar de Rioja;123
Villamediana de Iregua;2.260
Villanueva de Cameros;122
Villar de Arnedo (El);632
Villar de Torre;306
Villarejo;50
Villarroya;9
Villarta-Quintana;212
Villavelayo;73
Villaverde de Rioja;95
Villoslada de Cameros;388
Viniegra de Abajo;121
Viniegra de Arriba;55
Zarratón;258
Zarzosa;12
Zorraquín;42
