Abella de la Conca;197
Àger;528
Agramunt;4.902
Alamús (Els);698
Alàs i Cerc;400
Albagés (L');510
Albatàrrec;1.130
Albesa;1.494
Albi (L');782
Alcanó;259
Alcarràs;4.767
Alcoletge;1.770
Alfarràs;2.905
Alfés;328
Algerri;521
Alguaire;2.807
Alins;272
Almacelles;5.564
Almatret;484
Almenar;3.441
Alòs de Balaguer;187
Alpicat;4.016
Alt Àneu;411
Naut Aran;1.480
Anglesola;1.277
Arbeca;2.384
Pont de Bar (El);160
Arres;63
Arsèguel;108
Artesa de Lleida;1.326
Artesa de Segre;3.169
Sentiu de Sió (La);474
Aspa;267
Avellanes i Santa Linya (Les);483
Aitona;2.186
Baix Pallars;363
Balaguer;13.275
Barbens;787
Baronia de Rialb (La);266
Vall de Boí (La);870
Bassella;308
Bausen;62
Belianes;550
Bellcaire d'Urgell;1.307
Bell-lloc d'Urgell;2.124
Bellmunt d'Urgell;231
Bellpuig;4.041
Bellver de Cerdanya;1.614
Bellvís;2.173
Benavent de Segrià;904
Biosca;247
Bovera;396
Bòrdes (Es);212
Borges Blanques (Les);5.212
Bossòst;866
Cabanabona;98
Cabó;123
Camarasa;885
Canejan;108
Castellar de la Ribera;153
Castelldans;959
Castellnou de Seana;701
Castelló de Farfanya;587
Castellserà;1.107
Cava;57
Cervera;7.437
Cervià de les Garrigues;845
Ciutadilla;213
Clariana de Cardener;145
Cogul (El);232
Coll de Nargó;606
Corbins;1.055
Cubells;382
Espluga Calba (L');424
Espot;298
Estaràs;187
Esterri d'Àneu;646
Esterri de Cardós;75
Estamariu;123
Farrera;97
Floresta (La);177
Fondarella;680
Foradada;215
Fuliola (La);1.251
Fulleda;116
Gavet de la Conca;322
Golmés;1.336
Gósol;225
Granadella (La);810
Granja d'Escarp (La);1.100
Granyanella;150
Granyena de Segarra;158
Granyena de les Garrigues;170
Guimerà;399
Guissona;3.339
Guixers;151
Ivars de Noguera;338
Ivars d'Urgell;1.764
Ivorra;153
Isona i Conca Dellà;1.222
Juncosa;629
Juneda;2.988
Lleida;112.194
Les;697
Linyola;2.401
Lladorre;234
Lladurs;244
Llardecans;625
Llavorsí;285
Lles de Cerdanya;288
Llimiana;147
Llobera;237
Maldà;292
Massalcoreig;638
Massoteres;183
Maials;985
Menàrguens;806
Miralcamp;1.250
Molsosa (La);133
Mollerussa;9.581
Montgai;789
Montellà i Martinet;507
Montferrer i Castellbò;738
Montoliu de Segarra;192
Montoliu de Lleida;479
Montornès de Segarra;104
Nalec;105
Navès;272
Odèn;279
Oliana;1.864
Oliola;227
Olius;555
Oluges (Les);187
Omellons (Els);264
Omells de na Gaia (Els);152
Organyà;992
Os de Balaguer;768
Ossó de Sió;233
Palau d'Anglesola (El);1.682
Conca de Dalt;419
Coma i la Pedra (La);240
Penelles;536
Peramola;394
Pinell de Solsonès;225
Pinós;320
Poal (El);613
Pobla de Cérvoles (La);212
Bellaguarda;354
Pobla de Segur (La);2.852
Ponts;2.382
Pont de Suert (El);2.164
Portella (La);576
Prats i Sansor;212
Preixana;440
Preixens;523
Prullans;219
Puiggròs;261
Puigverd d'Agramunt;243
Puigverd de Lleida;1.043
Rialp;517
Ribera d'Urgellet;811
Riner;286
Rosselló;1.852
Salàs de Pallars;330
Sanaüja;464
Sant Guim de Freixenet;1.046
Sant Llorenç de Morunys;900
Sant Ramon;556
Sant Esteve de la Sarga;117
Sant Guim de la Plana;189
Sarroca de Lleida;481
Sarroca de Bellera;155
Senterada;112
Seu d'Urgell (La);10.943
Seròs;1.737
Sidamon;527
Soleràs (El);418
Solsona;7.343
Soriguera;308
Sort;1.791
Soses;1.537
Sudanell;712
Sunyer;300
Talarn;364
Talavera;296
Tàrrega;12.548
Tarrés;105
Tarroja de Segarra;178
Térmens;1.404
Tírvia;122
Tiurana;23
Torà;1.191
Torms (Els);197
Tornabous;820
Torrebesses;323
Torre de Cabdella (La);679
Torrefarrera;1.734
Torregrossa;2.242
Torrelameu;578
Torres de Segre;1.815
Torre-serona;326
Tremp;5.377
Vallbona de les Monges;266
Valls de Valira (Les);757
Vallfogona de Balaguer;1.505
Verdú;1.041
Vielha e Mijaran;4.139
Vilagrassa;453
Vilaller;578
Vilamòs;152
Vilanova de Bellpuig;1.139
Vilanova de l'Aguda;273
Vilanova de Meià;473
Vilanova de Segrià;789
Vila-sana;514
Vilosell (El);197
Vilanova de la Barca;921
Vinaixa;627
Vall de Cardós;318
Sant Martí de Riucorb;696
Guingueta d'Àneu (La);313
Castell de Mur;149
Ribera d'Ondara;516
Valls d'Aguilar (Les);296
Torrefeta i Florejacs;658
Fígols i Alinyà;296
Vansa i Fórnols (La);170
Josa i Tuixén;169
Plans de Sió (Els);595
Gimenells i el Pla de la Font;1.124
Riu de Cerdanya;81
