Abadín;3.516
Alfoz;2.462
Antas de Ulla;2.769
Baleira;1.923
Barreiros;3.446
Becerreá;3.732
Begonte;3.818
Bóveda;2.048
Carballedo;3.238
Castro de Rei;5.961
Castroverde;3.532
Cervantes;2.243
Cervo;5.082
Corgo (O);4.266
Cospeito;5.931
Chantada;9.823
Folgoso do Courel;1.593
Fonsagrada (A);5.448
Foz;9.558
Friol;4.837
Xermade;2.728
Guitiriz;6.358
Guntín;3.554
Incio (O);2.540
Xove;3.629
Láncara;3.331
Lourenzá;2.849
Lugo;88.235
Meira;1.852
Mondoñedo;5.135
Monforte de Lemos;19.712
Monterroso;4.267
Muras;1.151
Navia de Suarna;1.974
Negueira de Muñiz;261
Nogais (As);1.596
Ourol;1.577
Outeiro de Rei;4.256
Palas de Rei;4.330
Pantón;3.540
Paradela;2.655
Páramo (O);1.938
Pastoriza (A);4.106
Pedrafita do Cebreiro;1.630
Pol;2.177
Pobra do Brollón (A);2.648
Pontenova (A);3.389
Portomarín;2.099
Quiroga;4.342
Ribadeo;9.034
Ribas de Sil;1.463
Ribeira de Piquín;886
Riotorto;1.920
Samos;2.157
Rábade;1.607
Sarria;13.018
Saviñao (O);5.104
Sober;3.112
Taboada;4.227
Trabada;1.686
Triacastela;939
Valadouro (O);2.445
Vicedo (O);2.392
Vilalba;15.699
Viveiro;15.456
Baralla;3.344
Burela;8.045
