Acebeda (La);57
Ajalvir;2.205
Alameda del Valle;198
Álamo (El);4.676
Alcalá de Henares;166.397
Alcobendas;89.612
Alcorcón;144.636
Aldea del Fresno;1.449
Algete;14.731
Alpedrete;7.286
Ambite;307
Anchuelo;579
Aranjuez;39.652
Arganda del Rey;30.662
Arroyomolinos;3.824
Atazar (El);87
Batres;844
Becerril de la Sierra;3.246
Belmonte de Tajo;1.158
Berzosa del Lozoya;118
Berrueco (El);315
Boadilla del Monte;20.686
Boalo (El);3.092
Braojos;160
Brea de Tajo;458
Brunete;5.080
Buitrago del Lozoya;1.471
Bustarviejo;1.442
Cabanillas de la Sierra;453
Cabrera (La);1.689
Cadalso de los Vidrios;2.248
Camarma de Esteruelas;2.391
Campo Real;2.735
Canencia;441
Carabaña;1.118
Casarrubuelos;731
Cenicientos;1.864
Cercedilla;5.644
Cervera de Buitrago;85
Ciempozuelos;13.564
Cobeña;2.791
Colmenar del Arroyo;872
Colmenar de Oreja;5.412
Colmenarejo;4.395
Colmenar Viejo;32.459
Collado Mediano;4.529
Collado Villalba;42.238
Corpa;354
Coslada;77.057
Cubas de la Sagra;1.689
Chapinería;1.360
Chinchón;4.168
Daganzo de Arriba;3.830
Escorial (El);10.549
Estremera;1.028
Fresnedillas de la Oliva;769
Fresno de Torote;643
Fuenlabrada;173.788
Fuente el Saz de Jarama;4.004
Fuentidueña de Tajo;1.446
Galapagar;21.807
Garganta de los Montes;325
Gargantilla del Lozoya;227
Gascones;107
Getafe;146.310
Griñón;4.488
Guadalix de la Sierra;3.100
Guadarrama;9.389
Hiruela (La);74
Horcajo de la Sierra;144
Horcajuelo de la Sierra;103
Hoyo de Manzanares;5.667
Humanes de Madrid;9.424
Leganés;172.049
Loeches;2.985
Lozoya;434
Madarcos;21
Madrid;2.882.860
Majadahonda;45.819
Manzanares el Real;3.842
Meco;6.328
Mejorada del Campo;15.771
Miraflores de la Sierra;3.678
Molar (El);3.695
Molinos (Los);3.322
Montejo de la Sierra;313
Moraleja de Enmedio;3.056
Moralzarzal;5.379
Morata de Tajuña;5.383
Móstoles;196.289
Navacerrada;1.880
Navalafuente;541
Navalagamella;1.128
Navalcarnero;13.522
Navarredonda y San Mamés;108
Navas del Rey;1.655
Nuevo Baztán;3.380
Olmeda de las Fuentes;152
Orusco de Tajuña;647
Paracuellos de Jarama;5.889
Parla;74.203
Patones;352
Pedrezuela;1.425
Pelayos de la Presa;1.328
Perales de Tajuña;2.072
Pezuela de las Torres;487
Pinilla del Valle;156
Pinto;28.726
Piñuécar-Gandullas;145
Pozuelo de Alarcón;66.298
Pozuelo del Rey;188
Prádena del Rincón;95
Puebla de la Sierra;71
Quijorna;1.078
Rascafría;1.615
Redueña;179
Ribatejada;381
Rivas-Vaciamadrid;29.092
Robledillo de la Jara;91
Robledo de Chavela;2.327
Robregordo;89
Rozas de Madrid (Las);54.676
Rozas de Puerto Real;283
San Agustín de Guadalix;5.859
San Fernando de Henares;32.364
San Lorenzo de El Escorial;11.783
San Martín de la Vega;10.630
San Martín de Valdeiglesias;6.089
San Sebastián de los Reyes;58.389
Santa María de la Alameda;710
Santorcaz;561
Santos de la Humosa (Los);906
Serna del Monte (La);114
Serranillos del Valle;923
Sevilla la Nueva;3.632
Somosierra;93
Soto del Real;5.347
Talamanca de Jarama;1.444
Tielmes;1.922
Titulcia;940
Torrejón de Ardoz;94.161
Torrejón de la Calzada;4.208
Torrejón de Velasco;1.908
Torrelaguna;2.768
Torrelodones;13.467
Torremocha de Jarama;342
Torres de la Alameda;4.356
Valdaracete;617
Valdeavero;597
Valdelaguna;560
Valdemanco;533
Valdemaqueda;570
Valdemorillo;5.824
Valdemoro;28.243
Valdeolmos-Alalpardo;1.775
Valdepiélagos;305
Valdetorres de Jarama;2.001
Valdilecha;1.860
Valverde de Alcalá;302
Velilla de San Antonio;6.767
Vellón (El);1.129
Venturada;819
Villaconejos;2.870
Villa del Prado;3.932
Villalbilla;4.156
Villamanrique de Tajo;593
Villamanta;1.571
Villamantilla;334
Villanueva de la Cañada;10.706
Villanueva del Pardillo;4.733
Villanueva de Perales;467
Villar del Olmo;1.427
Villarejo de Salvanés;5.650
Villaviciosa de Odón;19.393
Villavieja del Lozoya;178
Zarzalejo;1.046
Lozoyuela-Navas-Sieteiglesias;654
Puentes Viejas;414
Tres Cantos;35.046
