Alameda;5.002
Alcaucín;1.511
Alfarnate;1.443
Alfarnatejo;399
Algarrobo;4.852
Algatocín;949
Alhaurín de la Torre;21.649
Alhaurín el Grande;17.021
Almáchar;1.904
Almargen;2.104
Almogía;4.072
Álora;12.509
Alozaina;2.145
Alpandeire;316
Antequera;40.598
Árchez;352
Archidona;8.171
Ardales;2.903
Arenas;1.191
Arriate;3.420
Atajate;164
Benadalid;262
Benahavís;2.079
Benalauría;499
Benalmádena;31.964
Benamargosa;1.551
Benamocarra;2.811
Benaoján;1.648
Benarrabá;630
Borge (El);1.021
Burgo (El);1.982
Campillos;7.657
Canillas de Aceituno;2.213
Canillas de Albaida;701
Cañete la Real;2.200
Carratraca;838
Cartajima;214
Cártama;13.188
Casabermeja;3.003
Casarabonela;2.553
Casares;3.309
Coín;17.868
Colmenar;3.124
Comares;1.399
Cómpeta;2.793
Cortes de la Frontera;3.513
Cuevas Bajas;1.473
Cuevas del Becerro;1.960
Cuevas de San Marcos;4.008
Cútar;603
Estepona;42.157
Faraján;288
Frigiliana;2.169
Fuengirola;47.914
Fuente de Piedra;1.913
Gaucín;1.705
Genalguacil;575
Guaro;1.877
Humilladero;2.469
Igualeja;922
Istán;1.348
Iznate;757
Jimera de Líbar;401
Jubrique;843
Júzcar;242
Macharaviaya;353
Málaga;531.565
Manilva;5.768
Marbella;105.910
Mijas;41.912
Moclinejo;1.116
Mollina;3.416
Monda;1.685
Montejaque;1.008
Nerja;16.112
Ojén;2.048
Parauta;225
Periana;3.387
Pizarra;6.608
Pujerra;304
Rincón de la Victoria;23.029
Riogordo;2.692
Ronda;34.021
Salares;208
Sayalonga;1.177
Sedella;490
Sierra de Yeguas;3.221
Teba;4.383
Tolox;2.390
Torrox;12.094
Totalán;616
Valle de Abdalajís;3.007
Vélez-Málaga;55.156
Villanueva de Algaidas;4.183
Villanueva del Rosario;3.318
Villanueva del Trabuco;4.760
Villanueva de Tapia;1.621
Viñuela;1.200
Yunquera;3.268
Torremolinos;41.281
