Abáigar;97
Abárzuza;514
Abaurregaina/Abaurrea Alta;167
Abaurrepea/Abaurrea Baja;47
Aberin;362
Ablitas;2.330
Adiós;143
Aguilar de Codés;105
Aibar/Oibar;918
Altsasu/Alsasua;7.124
Allín;824
Allo;1.039
Améscoa Baja;796
Ancín;301
Andosilla;2.423
Ansoáin;7.133
Anue;419
Añorbe;445
Aoiz/Agoitz;1.842
Araitz;611
Aranarache;95
Arantza;655
Aranguren;3.746
Arano;151
Arakil;888
Aras;229
Arbizu;932
Arce/Artzi;305
Arcos (Los);1.315
Arellano;196
Areso;293
Arguedas;2.265
Aria;68
Aribe;60
Armañanzas;91
Arróniz;1.172
Arruazu;100
Artajona;1.679
Artazu;79
Atez;207
Ayegui;1.002
Azagra;3.530
Azuelo;55
Bakaiku;360
Barásoain;443
Barbarin;98
Bargota;381
Barillas;199
Basaburua;676
Baztan;7.598
Beire;307
Belascoáin;103
Berbinzana;720
Bertizarana;657
Betelu;348
Biurrun-Olcoz;180
Buñuel;2.420
Auritz/Burguete;336
Burgui;236
Burlada/Burlata;16.887
Busto (El);102
Cabanillas;1.503
Cabredo;127
Cadreita;1.855
Caparroso;2.324
Cárcar;1.244
Carcastillo;2.620
Cascante;3.665
Cáseda;1.060
Castejón;3.143
Castillonuevo;22
Cintruénigo;5.694
Ziordia;368
Cirauqui;454
Ciriza;64
Cizur;1.308
Corella;6.820
Cortes;3.290
Desojo;144
Dicastillo;684
Donamaria;387
Etxalar;789
Echarri;51
Etxarri-Aranatz;2.234
Etxauri;414
Egüés;2.348
Elgorriaga;206
Noáin (Valle de Elorz)/Noain (Elortzibar);3.921
Enériz;192
Eratsun;180
Ergoiena;466
Erro;787
Ezcároz;362
Eslava;172
Esparza de Salazar;115
Espronceda;171
Estella/Lizarra;12.683
Esteribar;1.519
Etayo;96
Eulate;373
Ezcabarte;1.202
Ezkurra;232
Ezprogui;63
Falces;2.591
Fitero;1.960
Fontellas;736
Funes;2.188
Fustiñana;2.304
Galar;1.154
Gallipienzo;160
Gallués;122
Garaioa;130
Garde;199
Garínoain;356
Garralda;209
Genevilla;116
Goizueta;903
Goñi;188
Güesa;74
Guesálaz;480
Guirguillano;72
Huarte/Uharte;2.862
Uharte-Arakil;770
Ibargoiti;237
Igúzquiza;363
Imotz;408
Irañeta;160
Isaba/Izaba;525
Ituren;470
Iturmendi;380
Iza;728
Izagaondoa;172
Izalzu;48
Jaurrieta;254
Javier;119
Juslapeña;469
Beintza-Labaien;290
Lakuntza;977
Lana;215
Lantz;123
Lapoblación;195
Larraga;1.892
Larraona;156
Larraun;1.106
Lazagurría;227
Leache;49
Legarda;80
Legaria;120
Leitza;2.939
Leoz;258
Lerga;84
Lerín;1.916
Lesaka;2.681
Lezáun;278
Liédena;331
Lizoáin;236
Lodosa;4.598
Lónguida;296
Lumbier;1.434
Luquin;127
Mañeru;362
Marañón;72
Marcilla;2.574
Mélida;814
Mendavia;3.580
Mendaza;367
Mendigorría;899
Metauten;300
Milagro;2.599
Mirafuentes;52
Miranda de Arga;997
Monreal;289
Monteagudo;1.175
Morentin;128
Mues;104
Murchante;3.070
Murieta;273
Murillo el Cuende;649
Murillo el Fruto;750
Muruzábal;249
Navascués;213
Nazar;56
Obanos;772
Oco;85
Ochagavía;681
Odieta;318
Oitz;144
Olaibar;170
Olazti/Olazagutía;1.654
Olejua;54
Olite;3.130
Olóriz;175
Olza;1.371
Ollo;318
Orbaitzeta;236
Orbara;58
Orísoain;99
Oronz;57
Oroz-Betelu;221
Oteiza;897
Pamplona/Iruña;182.666
Peralta;5.082
Petilla de Aragón;43
Piedramillera;67
Pitillas;572
Puente la Reina/Gares;2.276
Pueyo;310
Ribaforada;3.188
Romanzado;168
Roncal;354
Orreaga/Roncesvalles;31
Sada;239
Saldías;151
Salinas de Oro;114
San Adrián;5.330
Sangüesa/Zangoza;4.673
San Martín de Unx;471
Sansol;123
Santacara;1.050
Doneztebe/Santesteban;1.359
Sarriés;77
Sartaguda;1.357
Sesma;1.364
Sorlada;52
Sunbilla;688
Tafalla;10.288
Tiebas-Muruarte de Reta;574
Tirapu;64
Torralba del Río;155
Torres del Río;182
Tudela;27.819
Tulebras;108
Ucar;116
Ujué;238
Ultzama;1.614
Unciti;228
Unzué;138
Urdazubi/Urdax;392
Urdiain;639
Urraul Alto;170
Urraul Bajo;279
Urroz;361
Urrotz;208
Urzainqui;109
Uterga;138
Uztárroz/Uztarroze;266
Luzaide/Valcarlos;470
Valtierra;2.430
Bera/Vera de Bidasoa;3.490
Viana;3.493
Vidángoz;115
Bidaurreta;96
Villafranca;2.510
Villamayor de Monjardín;127
Hiriberri/Villanueva de Aezkoa;152
Villatuerta;778
Villava/Atarrabia;9.333
Igantzi;588
Yerri;1.436
Yesa;239
Zabalza;156
Zubieta;307
Zugarramurdi;234
Zúñiga;114
Barañain;20.871
Berrioplano;1.213
Berriozar;5.557
Irurtzun;2.112
Beriáin;2.584
Orcoyen;1.267
Zizur Mayor/Zizur Nagusia;10.686
Lekunberri;825
