Allariz;5.158
Amoeiro;2.293
Arnoia (A);1.211
Avión;2.984
Baltar;1.282
Bande;2.602
Baños de Molgas;2.222
Barbadás;6.286
Barco de Valdeorras (O);12.767
Beade;614
Beariz;1.704
Blancos (Os);1.322
Boborás;3.462
Bola (A);1.566
Bolo (O);1.432
Calvos de Randín;1.256
Carballeda de Valdeorras;2.313
Carballeda de Avia;1.685
Carballiño (O);12.434
Cartelle;3.927
Castrelo do Val;1.336
Castrelo de Miño;2.153
Castro Caldelas;1.919
Celanova;5.960
Cenlle;1.673
Coles;3.162
Cortegada;1.441
Cualedro;2.457
Chandrexa de Queixa;897
Entrimo;1.474
Esgos;1.339
Xinzo de Limia;9.599
Gomesende;1.205
Gudiña (A);1.724
Irixo (O);2.185
Xunqueira de Ambía;2.097
Xunqueira de Espadanedo;1.097
Larouco;617
Laza;2.027
Leiro;2.046
Lobeira;1.286
Lobios;2.691
Maceda;3.387
Manzaneda;1.264
Maside;3.297
Melón;1.601
Merca (A);2.426
Mezquita (A);1.549
Montederramo;1.285
Monterrei;3.425
Muíños;2.042
Nogueira de Ramuín;2.667
Oímbra;2.021
Ourense;108.647
Paderne de Allariz;1.714
Padrenda;2.836
Parada de Sil;909
Pereiro de Aguiar (O);4.892
Peroxa (A);2.590
Petín;1.139
Piñor;1.620
Porqueira;1.192
Pobra de Trives (A);2.911
Pontedeva;708
Punxín;978
Quintela de Leirado;950
Rairiz de Veiga;1.895
Ramirás;2.077
Ribadavia;5.509
San Xoán de Río;1.030
Riós;2.265
Rúa (A);5.008
Rubiá;1.828
San Amaro;1.534
San Cibrao das Viñas;3.614
San Cristovo de Cea;3.232
Sandiás;1.712
Sarreaus;1.917
Taboadela;1.755
Teixeira (A);597
Toén;2.623
Trasmiras;1.940
Veiga (A);1.446
Verea;1.516
Verín;13.033
Viana do Bolo;4.089
Vilamarín;2.262
Vilamartín de Valdeorras;2.502
Vilar de Barrio;2.084
Vilar de Santos;1.033
Vilardevós;2.931
Vilariño de Conso;854
