Abarca de Campos;50
Abia de las Torres;204
Aguilar de Campoo;7.643
Alar del Rey;1.303
Alba de Cerrato;101
Amayuelas de Arriba;43
Ampudia;698
Amusco;559
Antigüedad;427
Arconada;67
Astudillo;1.287
Autilla del Pino;249
Autillo de Campos;191
Ayuela;78
Baltanás;1.561
Venta de Baños;6.188
Baquerín de Campos;38
Bárcena de Campos;63
Barruelo de Santullán;1.834
Báscones de Ojeda;212
Becerril de Campos;1.095
Belmonte de Campos;46
Berzosilla;73
Boada de Campos;24
Boadilla del Camino;190
Boadilla de Rioseco;188
Brañosera;290
Buenavista de Valdavia;440
Bustillo de la Vega;383
Bustillo del Páramo de Carrión;93
Calahorra de Boedo;137
Calzada de los Molinos;386
Capillas;116
Cardeñosa de Volpejera;56
Carrión de los Condes;2.425
Castil de Vela;112
Castrejón de la Peña;622
Castrillo de Don Juan;337
Castrillo de Onielo;179
Castrillo de Villavega;285
Castromocho;257
Cervatos de la Cueza;397
Cervera de Pisuerga;2.706
Cevico de la Torre;705
Cevico Navero;275
Cisneros;600
Cobos de Cerrato;244
Collazos de Boedo;157
Congosto de Valdavia;284
Cordovilla la Real;126
Cubillas de Cerrato;87
Dehesa de Montejo;218
Dehesa de Romanos;44
Dueñas;2.949
Espinosa de Cerrato;274
Espinosa de Villagonzalo;272
Frechilla;272
Fresno del Río;200
Frómista;980
Fuentes de Nava;815
Fuentes de Valdepero;242
Grijota;819
Guardo;8.645
Guaza de Campos;78
Hérmedes de Cerrato;133
Herrera de Pisuerga;2.627
Herrera de Valdecañas;203
Hontoria de Cerrato;123
Hornillos de Cerrato;130
Husillos;223
Itero de la Vega;243
Lagartos;169
Lantadilla;518
Vid de Ojeda (La);136
Ledigos;105
Lomas;62
Magaz de Pisuerga;726
Manquillos;71
Mantinos;201
Marcilla de Campos;74
Mazariegos;291
Mazuecos de Valdeginate;138
Melgar de Yuso;389
Meneses de Campos;156
Micieces de Ojeda;113
Monzón de Campos;758
Moratinos;89
Mudá;129
Nogal de las Huertas;69
Olea de Boedo;45
Olmos de Ojeda;341
Osornillo;100
Palencia;80.613
Palenzuela;318
Páramo de Boedo;111
Paredes de Nava;2.428
Payo de Ojeda;97
Pedraza de Campos;131
Pedrosa de la Vega;393
Perales;116
Pino del Río;283
Piña de Campos;294
Población de Arroyo;92
Población de Campos;200
Población de Cerrato;127
Polentinos;91
Pomar de Valdivia;536
Poza de la Vega;274
Pozo de Urama;43
Prádanos de Ojeda;252
Puebla de Valdavia (La);157
Quintana del Puente;256
Quintanilla de Onsoña;239
Reinoso de Cerrato;83
Renedo de la Vega;270
Requena de Campos;58
Respenda de la Peña;274
Revenga de Campos;189
Revilla de Collazos;86
Ribas de Campos;197
Riberos de la Cueza;89
Saldaña;3.187
Salinas de Pisuerga;281
San Cebrián de Campos;541
San Cebrián de Mudá;210
San Cristóbal de Boedo;48
San Mamés de Campos;112
San Román de la Cuba;119
Santa Cecilia del Alcor;165
Santa Cruz de Boedo;65
Santervás de la Vega;550
Santibáñez de Ecla;102
Santibáñez de la Peña;1.514
Santoyo;286
Serna (La);124
Sotobañado y Priorato;182
Soto de Cerrato;228
Tabanera de Cerrato;180
Tabanera de Valdavia;56
Támara de Campos;98
Tariego de Cerrato;561
Torquemada;1.176
Torremormojón;92
Triollo;98
Valbuena de Pisuerga;80
Valdeolmillos;88
Valderrábano;82
Valde-Ucieza;124
Valle de Cerrato;130
Velilla del Río Carrión;1.818
Vertavillo;228
Villabasta de Valdavia;40
Villacidaler;78
Villaconancio;89
Villada;1.290
Villaeles de Valdavia;87
Villahán;140
Villaherreros;273
Villalaco;81
Villalba de Guardo;248
Villalcázar de Sirga;237
Villalcón;89
Villalobón;358
Villaluenga de la Vega;667
Villamartín de Campos;169
Villamediana;236
Villameriel;158
Villamoronta;331
Villamuera de la Cueza;63
Villamuriel de Cerrato;4.734
Villanueva del Rebollar;101
Villanuño de Valdavia;130
Villaprovedo;105
Villarmentero de Campos;14
Villarrabé;287
Villarramiel;1.096
Villasarracino;271
Villasila de Valdavia;107
Villaturde;253
Villaumbrales;886
Villaviudas;473
Villerías de Campos;131
Villodre;46
Villodrigo;129
Villoldo;496
Villota del Páramo;458
Villovieco;124
Osorno la Mayor;1.712
Valle del Retortillo;219
Loma de Ucieza;328
Pernía (La);479
