Abusejo;256
Agallas;191
Ahigal de los Aceiteros;206
Ahigal de Villarino;44
Alameda de Gardón (La);157
Alamedilla (La);219
Alaraz;670
Alba de Tormes;4.654
Alba de Yeltes;284
Alberca (La);1.122
Alberguería de Argañán (La);200
Alconada;226
Aldeacipreste;225
Aldeadávila de la Ribera;1.702
Aldea del Obispo;396
Aldealengua;574
Aldeanueva de Figueroa;343
Aldeanueva de la Sierra;107
Aldearrodrigo;214
Aldearrubia;548
Aldeaseca de Alba;130
Aldeaseca de la Frontera;362
Aldeatejada;634
Aldeavieja de Tormes;140
Aldehuela de la Bóveda;385
Aldehuela de Yeltes;313
Almenara de Tormes;254
Almendra;196
Anaya de Alba;322
Añover de Tormes;108
Arabayona de Mógica;519
Arapiles;514
Arcediano;118
Arco (El);102
Armenteros;324
San Miguel del Robledo;105
Atalaya (La);158
Babilafuente;986
Bañobárez;429
Barbadillo;565
Barbalos;108
Barceo;70
Barruecopardo;587
Bastida (La);39
Béjar;15.690
Beleña;148
Bermellar;222
Berrocal de Huebra;122
Berrocal de Salvatierra;135
Boada;426
Bodón (El);339
Bogajo;211
Bouza (La);70
Bóveda del Río Almar;315
Brincones;108
Buenamadre;180
Buenavista;94
Cabaco (El);285
Cabezabellosa de la Calzada;135
Cabeza de Béjar (La);110
Cabeza del Caballo;482
Cabrerizos;2.015
Cabrillas;538
Calvarrasa de Abajo;988
Calvarrasa de Arriba;680
Calzada de Béjar (La);106
Calzada de Don Diego;260
Calzada de Valdunciel;659
Campillo de Azaba;265
Campo de Peñaranda (El);394
Candelario;1.109
Canillas de Abajo;110
Cantagallo;288
Cantalapiedra;1.323
Cantalpino;1.174
Cantaracillo;281
Carbajosa de la Sagrada;1.674
Carpio de Azaba;110
Carrascal de Barregas;495
Carrascal del Obispo;255
Casafranca;86
Casas del Conde (Las);88
Casillas de Flores;264
Castellanos de Moriscos;373
Castillejo de Martín Viejo;337
Castraz;61
Cepeda;530
Cereceda de la Sierra;104
Cerezal de Peñahorcada;127
Cerralbo;256
Cerro (El);555
Cespedosa de Tormes;650
Cilleros de la Bastida;41
Cipérez;439
Ciudad Rodrigo;14.556
Coca de Alba;158
Colmenar de Montemayor;273
Cordovilla;145
Cristóbal;254
Cubo de Don Sancho (El);592
Chagarcía Medianero;146
Dios le Guarde;166
Doñinos de Ledesma;108
Doñinos de Salamanca;726
Ejeme;199
Encina (La);205
Encina de San Silvestre;125
Encinas de Abajo;671
Encinas de Arriba;288
Encinasola de los Comendadores;297
Endrinal;301
Escurial de la Sierra;299
Espadaña;50
Espeja;298
Espino de la Orbada;362
Florida de Liébana;252
Forfoleda;251
Frades de la Sierra;286
Fregeneda (La);554
Fresnedoso;128
Fresno Alhándiga;314
Fuente de San Esteban (La);1.544
Fuenteguinaldo;938
Fuenteliante;142
Fuenterroble de Salvatierra;270
Fuentes de Béjar;282
Fuentes de Oñoro;1.396
Gajates;246
Galindo y Perahuy;362
Galinduste;584
Galisancho;566
Gallegos de Argañán;415
Gallegos de Solmirón;199
Garcibuey;294
Garcihernández;606
Garcirrey;111
Gejuelo del Barro;53
Golpejas;201
Gomecello;525
Guadramiro;223
Guijo de Ávila;115
Guijuelo;5.082
Herguijuela de Ciudad Rodrigo;143
Herguijuela de la Sierra;326
Herguijuela del Campo;124
Hinojosa de Duero;840
Horcajo de Montemayor;207
Horcajo Medianero;368
Hoya (La);23
Huerta;275
Iruelos;65
Ituero de Azaba;271
Juzbado;197
Lagunilla;640
Larrodrigo;305
Ledesma;1.954
Ledrada;606
Linares de Riofrío;1.053
Lumbrales;2.210
Macotera;1.695
Machacón;543
Madroñal;182
Maíllo (El);443
Malpartida;159
Mancera de Abajo;363
Manzano (El);96
Martiago;380
Martinamor;82
Martín de Yeltes;560
Masueco;473
Castellanos de Villiquera;587
Mata de Ledesma (La);146
Matilla de los Caños del Río;711
Maya (La);262
Membribe de la Sierra;87
Mieza;354
Milano (El);178
Miranda de Azán;323
Miranda del Castañar;654
Mogarraz;365
Molinillo;82
Monforte de la Sierra;113
Monleón;135
Monleras;262
Monsagro;237
Montejo;239
Montemayor del Río;377
Monterrubio de Armuña;545
Monterrubio de la Sierra;177
Morasverdes;447
Morille;186
Moríñigo;137
Moriscos;143
Moronta;127
Mozárbez;414
Narros de Matalayegua;302
Navacarros;132
Nava de Béjar;122
Nava de Francia;150
Nava de Sotrobal;217
Navales;392
Navalmoral de Béjar;75
Navamorales;172
Navarredonda de la Rinconada;278
Navasfrías;711
Negrilla de Palencia;127
Olmedo de Camaces;172
