Aguadulce;1.958
Alanís;2.014
Albaida del Aljarafe;1.820
Alcalá de Guadaira;57.206
Alcalá del Río;9.301
Alcolea del Río;3.392
Algaba (La);12.916
Algámitas;1.373
Almadén de la Plata;1.764
Almensilla;3.110
Arahal;18.501
Aznalcázar;3.518
Aznalcóllar;5.820
Badolatosa;3.171
Benacazón;5.021
Bollullos de la Mitación;5.009
Bormujos;9.462
Brenes;10.666
Burguillos;3.514
Cabezas de San Juan (Las);15.676
Camas;25.333
Campana (La);5.169
Cantillana;8.947
Carmona;25.723
Carrión de los Céspedes;2.331
Casariche;5.200
Castilblanco de los Arroyos;4.458
Castilleja de Guzmán;1.447
Castilleja de la Cuesta;16.059
Castilleja del Campo;617
Castillo de las Guardas (El);1.609
Cazalla de la Sierra;5.177
Constantina;7.145
Coria del Río;23.935
Coripe;1.541
Coronil (El);5.132
Corrales (Los);4.141
Dos Hermanas;97.324
Écija;37.652
Espartinas;5.092
Estepa;11.721
Fuentes de Andalucía;7.461
Garrobo (El);772
Gelves;6.009
Gerena;5.509
Gilena;3.835
Gines;9.895
Guadalcanal;2.970
Guillena;8.406
Herrera;6.046
Huévar del Aljarafe;2.271
Lantejuela (La);3.609
Lebrija;24.172
Lora de Estepa;781
Lora del Río;18.848
Luisiana (La);4.344
Madroño (El);364
Mairena del Alcor;16.649
Mairena del Aljarafe;33.914
Marchena;18.086
Marinaleda;2.634
Martín de la Jara;2.747
Molares (Los);2.674
Montellano;6.829
Morón de la Frontera;28.000
Navas de la Concepción (Las);1.888
Olivares;7.793
Osuna;17.290
Palacios y Villafranca (Los);32.762
Palomares del Río;3.759
Paradas;7.028
Pedrera;5.008
Pedroso (El);2.380
Peñaflor;3.832
Pilas;11.289
Pruna;3.264
Puebla de Cazalla (La);10.691
Puebla de los Infantes (La);3.462
Puebla del Río (La);10.688
Real de la Jara (El);1.706
Rinconada (La);28.487
Roda de Andalucía (La);4.193
Ronquillo (El);1.421
Rubio (El);3.719
Salteras;3.064
San Juan de Aznalfarache;20.187
Sanlúcar la Mayor;10.951
San Nicolás del Puerto;716
Santiponce;7.000
Saucejo (El);4.266
Sevilla;700.716
Tocina;8.851
Tomares;17.842
Umbrete;4.901
Utrera;46.084
Valencina de la Concepción;6.750
Villamanrique de la Condesa;3.805
Villanueva del Ariscal;4.750
Villanueva del Río y Minas;5.467
Villanueva de San Juan;1.527
Villaverde del Río;6.632
Viso del Alcor (El);16.170
Cañada Rosal;2.988
Villafranco del Guadalquivir;6.057
Cuervo de Sevilla (El);7.743
