Ababuj;85
Abejuela;58
Aguatón;24
Aguaviva;592
Aguilar del Alfambra;83
Alacón;457
Alba;271
Albalate del Arzobispo;2.283
Albarracín;1.055
Albentosa;257
Alcaine;74
Alcalá de la Selva;478
Alcañiz;13.127
Alcorisa;3.245
Alfambra;645
Aliaga;393
Almohaja;29
Alobras;92
Alpeñés;28
Allepuz;143
Alloza;772
Allueva;16
Anadón;17
Andorra;8.000
Arcos de las Salinas;144
Arens de Lledó;241
Argente;262
Ariño;866
Azaila;174
Bádenas;24
Báguena;500
Bañón;182
Barrachina;163
Bea;45
Beceite;638
Belmonte de San José;144
Bello;393
Berge;231
Bezas;70
Blancas;183
Blesa;156
Bordón;148
Bronchales;457
Bueña;102
Burbáguena;326
Cabra de Mora;115
Calaceite;1.193
Calamocha;4.063
Calanda;3.484
Calomarde;82
Camañas;137
Camarena de la Sierra;186
Camarillas;122
Caminreal;813
Cantavieja;734
Cañada de Benatanduz;63
Cañada de Verich (La);106
Cañada Vellida;58
Cañizar del Olivar;125
Cascante del Río;121
Castejón de Tornos;103
Castel de Cabra;172
Castelnou;98
Castelserás;858
Castellar (El);97
Castellote;737
Cedrillas;527
Celadas;424
Cella;2.897
Cerollera (La);111
Codoñera (La);344
Corbalán;76
Cortes de Aragón;117
Cosa;104
Cretas;603
Crivillén;128
Cuba (La);60
Cubla;50
Cucalón;76
Cuervo (El);123
Cuevas de Almudén;103
Cuevas Labradas;162
Ejulve;229
Escorihuela;234
Escucha;1.103
Estercuel;348
Ferreruela de Huerva;87
Fonfría;32
Formiche Alto;199
Fórnoles;104
Fortanete;194
Foz-Calanda;241
Fresneda (La);416
Frías de Albarracín;157
Fuenferrada;47
Fuentes Calientes;129
Fuentes Claras;650
Fuentes de Rubielos;88
Fuentespalda;357
Galve;145
Gargallo;121
Gea de Albarracín;453
Ginebrosa (La);249
Griegos;138
Guadalaviar;287
Gúdar;74
Híjar;1.901
Hinojosa de Jarque;177
Hoz de la Vieja (La);123
Huesa del Común;135
Iglesuela del Cid (La);499
Jabaloyas;89
Jarque de la Val;95
Jatiel;67
Jorcas;48
Josa;39
Lagueruela;69
Lanzuela;30
Libros;161
Lidón;79
Linares de Mora;294
Loscos;217
Lledó;201
Maicas;35
Manzanera;467
Martín del Río;495
Mas de las Matas;1.488
Mata de los Olmos (La);267
Mazaleón;601
Mezquita de Jarque;133
Mirambel;146
Miravete de la Sierra;49
Molinos;329
Monforte de Moyuela;61
Monreal del Campo;2.311
Monroyo;362
Montalbán;1.588
Monteagudo del Castillo;68
Monterde de Albarracín;67
Mora de Rubielos;1.371
Moscardón;55
Mosqueruela;693
Muniesa;737
Noguera de Albarracín;176
Nogueras;20
Nogueruelas;223
Obón;52
Odón;271
Ojos Negros;563
Olba;195
Oliete;476
Olmos (Los);142
Orihuela del Tremedal;628
Orrios;191
Palomar de Arroyos;255
Pancrudo;167
Parras de Castellote (Las);76
Peñarroya de Tastavins;521
Peracense;108
Peralejos;93
Perales del Alfambra;295
Pitarque;109
Plou;47
Pobo (El);146
Portellada (La);312
Pozondón;83
Pozuel del Campo;115
Puebla de Híjar (La);1.089
Puebla de Valverde (La);489
Puertomingalvo;140
Ráfales;201
Rillo;139
Riodeva;218
Ródenas;98
Royuela;238
Rubiales;58
Rubielos de la Cérida;62
Rubielos de Mora;616
Salcedillo;7
Saldón;42
Samper de Calanda;988
San Agustín;138
San Martín del Río;288
Santa Cruz de Nogueras;26
Santa Eulalia;1.230
Sarrión;1.015
Segura de los Baños;50
Seno;49
Singra;93
Terriente;184
Teruel;30.491
Toril y Masegoso;32
Tormón;39
Tornos;249
Torralba de los Sisones;224
Torrecilla de Alcañiz;427
Torrecilla del Rebollar;186
Torre de Arcas;107
Torre de las Arcas;34
Torre del Compte;175
Torrelacárcel;290
Torre los Negros;100
Torremocha de Jiloca;170
Torres de Albarracín;161
Torrevelilla;203
Torrijas;74
Torrijo del Campo;556
Tramacastiel;118
Tramacastilla;124
Tronchón;95
Urrea de Gaén;610
Utrillas;3.279
Valacloche;20
Valbona;187
Valdealgorfa;736
Valdecuenca;39
Valdelinares;119
Valdeltormo;369
Valderrobres;1.845
Valjunquera;440
Vallecillo (El);69
Veguillas de la Sierra;28
Villafranca del Campo;382
Villahermosa del Campo;70
Villanueva del Rebollar de la Sierra;52
Villar del Cobo;223
Villar del Salz;101
Villarluengo;201
Villarquemado;966
Villarroya de los Pinares;201
Villastar;341
Villel;331
Vinaceite;287
Visiedo;203
Vivel del Río Martín;92
Zoma (La);31
