Ajofrín;2.173
Alameda de la Sagra;2.846
Albarreal de Tajo;612
Alcabón;630
Alcañizo;326
Alcaudete de la Jara;1.821
Alcolea de Tajo;778
Aldea en Cabo;176
Aldeanueva de Barbarroya;819
Aldeanueva de San Bartolomé;596
Almendral de la Cañada;397
Almonacid de Toledo;797
Almorox;2.196
Añover de Tajo;4.542
Arcicóllar;562
Argés;2.477
Azután;344
Barcience;111
Bargas;6.816
Belvís de la Jara;1.688
Borox;2.221
Buenaventura;540
Burguillos de Toledo;965
Burujón;1.290
Cabañas de la Sagra;1.288
Cabañas de Yepes;249
Cabezamesada;482
Calera y Chozas;3.734
Caleruela;304
Calzada de Oropesa;599
Camarena;2.235
Camarenilla;512
Campillo de la Jara (El);520
Camuñas;1.697
Cardiel de los Montes;158
Carmena;819
Carpio de Tajo (El);2.252
Carranque;1.746
Carriches;288
Casar de Escalona (El);961
Casarrubios del Monte;2.942
Casasbuenas;227
Castillo de Bayuela;1.011
Cazalegas;1.166
Cebolla;2.809
Cedillo del Condado;1.542
Cerralbos (Los);454
Cervera de los Montes;398
Ciruelos;337
Cobeja;1.804
Cobisa;1.618
Consuegra;9.958
Corral de Almaguer;5.622
Cuerva;1.311
Chozas de Canales;1.002
Chueca;263
Domingo Pérez;479
Dosbarrios;2.097
Erustes;199
Escalona;2.170
Escalonilla;1.432
Espinoso del Rey;631
Esquivias;3.806
Estrella (La);411
Fuensalida;7.665
Gálvez;3.082
Garciotum;155
Gerindote;1.839
Guadamur;1.578
Guardia (La);2.418
Herencias (Las);753
Herreruela de Oropesa;426
Hinojosa de San Vicente;480
Hontanar;126
Hormigos;416
Huecas;474
Huerta de Valdecarábanos;1.661
Iglesuela (La);435
Illán de Vacas;4
Illescas;10.347
Lagartera;1.839
Layos;268
Lillo;2.905
Lominchar;1.198
Lucillos;499
Madridejos;10.500
Magán;1.137
Malpica de Tajo;1.888
Manzaneque;492
Maqueda;455
Marjaliza;325
Marrupe;141
Mascaraque;479
Mata (La);991
Mazarambroz;1.221
Mejorada;1.124
Menasalbas;2.971
Méntrida;2.105
Mesegar de Tajo;230
Miguel Esteban;4.719
Mocejón;4.157
Mohedas de la Jara;616
Montearagón;441
Montesclaros;463
Mora;9.371
Nambroca;2.603
Nava de Ricomalillo (La);718
Navahermosa;3.886
Navalcán;2.288
Navalmoralejo;72
Navalmorales (Los);2.618
Navalucillos (Los);2.732
Navamorcuende;741
Noblejas;3.060
Noez;817
Nombela;938
Novés;1.545
Numancia de la Sagra;2.555
Nuño Gómez;202
Ocaña;6.190
Olías del Rey;4.287
Ontígola;1.250
Orgaz;2.672
Oropesa;2.717
Otero;203
Palomeque;483
Pantoja;2.469
Paredes de Escalona;116
Parrillas;423
Pelahustán;342
Pepino;948
Polán;3.306
Portillo de Toledo;1.971
Puebla de Almoradiel (La);5.380
Puebla de Montalbán (La);7.111
Pueblanueva (La);2.018
Puente del Arzobispo (El);1.566
Puerto de San Vicente;277
Pulgar;1.268
Quero;1.273
Quintanar de la Orden;9.503
Quismondo;1.298
Real de San Vicente (El);996
Recas;2.614
Retamoso;160
Rielves;516
Robledo del Mazo;518
Romeral (El);895
San Bartolomé de las Abiertas;473
San Martín de Montalbán;751
San Martín de Pusa;790
San Pablo de los Montes;2.128
San Román de los Montes;726
Santa Ana de Pusa;406
Santa Cruz de la Zarza;4.392
Santa Cruz del Retamar;1.681
Santa Olalla;2.567
Sartajada;116
Segurilla;981
Seseña;4.244
Sevilleja de la Jara;1.056
Sonseca;9.467
Sotillo de las Palomas;223
Talavera de la Reina;74.241
Tembleque;2.099
Toboso (El);2.077
Toledo;68.537
Torralba de Oropesa;280
Torrecilla de la Jara;292
Torre de Esteban Hambrán (La);1.489
Torrico;894
Torrijos;10.041
Totanés;363
Turleque;971
Ugena;1.585
Urda;2.965
Valdeverdeja;786
Valmojado;2.406
Velada;2.386
Ventas con Peña Aguilera (Las);1.367
Ventas de Retamosa (Las);804
Ventas de San Julián (Las);236
Villacañas;9.347
Villa de Don Fadrique (La);4.101
Villafranca de los Caballeros;5.335
Villaluenga de la Sagra;2.642
Villamiel de Toledo;477
Villaminaya;644
Villamuelas;743
Villanueva de Alcardete;3.293
Villanueva de Bogas;819
Villarejo de Montalbán;100
Villarrubia de Santiago;2.869
Villaseca de la Sagra;1.563
Villasequilla;2.319
Villatobas;2.220
Viso de San Juan (El);1.170
Yébenes (Los);6.199
Yeles;1.731
Yepes;4.358
Yuncler;1.855
Yunclillos;615
Yuncos;3.760
Santo Domingo-Caudilla;790
