Ademuz;1.195
Ador;1.178
Atzeneta d'Albaida;1.238
Agullent;2.223
Alaquàs;26.939
Albaida;5.828
Albal;11.973
Albalat de la Ribera;3.474
Albalat dels Sorells;3.479
Albalat dels Tarongers;709
Alberic;9.227
Alborache;905
Alboraya;16.943
Albuixech;3.032
Alcácer;7.229
Alcàntera de Xúquer;1.405
Alzira;40.658
Alcublas;854
Alcúdia (l');10.584
Alcúdia de Crespins (l');4.223
Aldaia;24.485
Alfafar;18.878
Alfauir;357
Alfara de Algimia;502
Alfara del Patriarca;2.683
Alfarp;1.334
Alfarrasí;1.192
Algar de Palancia;428
Algemesí;25.028
Algimia de Alfara;856
Alginet;12.069
Almàssera;5.759
Almiserà;270
Almoines;1.675
Almussafes;7.256
Alpuente;941
Alquería de la Condesa/Alqueria de la Comtessa (l');1.382
Andilla;460
Anna;2.572
Antella;1.488
Aras de Alpuente;398
Aielo de Malferit;3.984
Ayelo de Rugat;208
Ayora;5.513
Barxeta;1.612
Barx;1.251
Bèlgida;689
Bellreguard;3.734
Bellús;399
Benagéber;189
Benaguasil;9.206
Benavites;634
Beneixida;625
Benetússer;13.636
Beniarjó;1.242
Beniatjar;231
Benicolet;496
Benifairó de les Valls;1.954
Benifairó de la Valldigna;1.635
Benifaió;12.059
Beniflá;164
Benigánim;5.474
Benimodo;1.807
Benimuslem;547
Beniparrell;1.611
Benirredrà;1.177
Benisanó;1.784
Benisoda;300
Benisuera;188
Bétera;13.885
Bicorp;676
Bocairent;4.508
Bolbaite;1.411
Bonrepòs i Mirambell;2.283
Bufali;206
Bugarra;828
Buñol;9.301
Burjassot;35.171
Calles;434
Camporrobles;1.362
Canals;13.080
Canet d'En Berenguer;2.562
Carcaixent;20.609
Cárcer;2.070
Carlet;13.975
Carrícola;73
Casas Altas;157
Casas Bajas;286
Casinos;2.395
Castelló de Rugat;2.057
Castellonet de la Conquesta;154
Castielfabib;519
Catadau;2.345
Catarroja;20.616
Caudete de las Fuentes;805
Cerdà;287
Cofrentes;1.056
Corbera;3.068
Cortes de Pallás;792
Cotes;369
Quart de les Valls;1.048
Quart de Poblet;26.131
Quartell;1.369
Quatretonda;2.549
Cullera;20.663
Chelva;2.105
Chella;2.527
Chera;567
Cheste;6.915
Xirivella;26.053
Chiva;9.721
Chulilla;778
Daimús;1.674
Domeño;516
Dos Aguas;406
Eliana (l');13.087
Emperador;210
Enguera;4.703
Ènova (l');1.049
Estivella;1.114
Estubeny;151
Faura;2.830
Favara;1.755
Fontanars dels Alforins;970
Fortaleny;981
Foios;5.372
Font d'En Carròs (la);3.236
Font de la Figuera (la);2.094
Fuenterrobles;728
Gavarda;1.237
Gandia;59.123
Genovés;2.383
Gestalgar;738
Gilet;1.477
Godella;11.222
Godelleta;2.242
Granja de la Costera (la);360
Guadasequies;385
Guadassuar;5.331
Guardamar;68
Higueruelas;560
Jalance;1.073
Xeraco;4.982
Jarafuel;917
Xàtiva;25.478
Xeresa;1.879
Llíria;16.856
Loriguilla;1.005
Losa del Obispo;450
Llutxent;2.412
Lugar Nuevo de Fenollet;783
Lugar Nuevo de la Corona;93
Llocnou de Sant Jeroni;568
Llanera de Ranes;992
Llaurí;118
Llombai;2.271
Llosa de Ranes;3.622
Macastre;1.050
Manises;25.939
Manuel;2.426
Marines;1.406
Masalavés;1.464
Massalfassar;1.345
Massamagrell;12.766
Massanassa;7.521
Meliana;9.051
Millares;628
Miramar;1.232
Mislata;40.616
Mogente/Moixent;4.269
Moncada;18.602
Monserrat;3.157
Montaverner;1.702
Montesa;1.256
Montichelvo;597
Montroy;1.538
Museros;4.158
Náquera;2.783
Navarrés;2.744
Novelé/Novetlè;670
Oliva;21.001
Olocau;884
Olleria (l');7.058
Ontinyent;31.926
Otos;526
Paiporta;18.194
Palma de Gandía;1.575
Palmera;532
Palomar;503
Paterna;47.498
Pedralba;2.109
Petrés;810
Picanya;8.932
Picassent;16.005
Piles;1.981
Pinet;212
Polinyà de Xúquer;3.031
Potríes;937
Pobla de Farnals (la);5.473
Pobla del Duc (la);2.427
Puebla de San Miguel;81
Pobla de Vallbona (la);11.757
Pobla Llarga (la);4.373
Puig;7.195
Puçol;14.529
Quesa;797
Rafelbuñol/Rafelbunyol;5.553
Rafelcofer;1.406
Rafelguaraf;2.406
Ráfol de Salem;369
Real de Gandía;1.789
Real de Montroi;1.798
Requena;19.092
Riba-roja de Túria;12.908
Riola;1.609
Rocafort;5.117
Rotglá y Corberá;1.035
Rótova;1.295
Rugat;207
Sagunto/Sagunt;56.756
Salem;468
San Juan de Énova;349
Sedaví;8.353
Segart;212
Sellent;471
Sempere;39
Senyera;937
Serra;1.915
Siete Aguas;1.282
Silla;15.614
Simat de la Valldigna;3.112
Sinarcas;1.245
Sollana;4.463
Sot de Chera;340
Sueca;25.406
Sumacàrcer;1.364
Tavernes Blanques;8.453
Tavernes de la Valldigna;16.516
Teresa de Cofrentes;695
Terrateig;200
Titaguas;555
Torrebaja;447
Torrella;175
Torrent;64.586
Torres Torres;435
Tous;1.183
Tuéjar;1.268
Turís;4.733
Utiel;11.781
Valencia;739.014
Vallada;3.151
Vallanca;235
Vallés;102
Venta del Moro;1.567
Villalonga;3.639
Vilamarxant;5.993
Villanueva de Castellón;6.950
Villar del Arzobispo;3.457
Villargordo del Cabriel;719
Vinalesa;2.341
Yátova;1.978
Yesa (La);283
Zarra;424
Gátova;500
San Antonio de Benagéber;2.719
