Abezames;110
Alcañices;1.130
Alcubilla de Nogales;204
Alfaraz de Sayago;210
Algodre;195
Almaraz de Duero;471
Almeida de Sayago;694
Andavías;510
Arcenillas;305
Arcos de la Polvorosa;301
Argañín;100
Argujillo;380
Arquillinos;179
Arrabalde;391
Aspariegos;370
Asturianos;361
Ayoó de Vidriales;473
Barcial del Barco;308
Belver de los Montes;473
Benavente;16.763
Benegiles;418
Bermillo de Sayago;1.436
Bóveda de Toro (La);1.003
Bretó;246
Bretocino;329
Brime de Sog;252
Brime de Urz;154
Burganes de Valverde;908
Bustillo del Oro;157
Cabañas de Sayago;196
Calzadilla de Tera;508
Camarzana de Tera;1.057
Cañizal;626
Cañizo;328
Carbajales de Alba;678
Carbellino;272
Casaseca de Campeán;158
Casaseca de las Chanas;371
Castrillo de la Guareña;159
Castrogonzalo;571
Castronuevo;352
Castroverde de Campos;415
Cazurra;97
Cerecinos de Campos;432
Cerecinos del Carrizal;154
Cernadilla;177
Cobreros;797
Coomonte;334
Coreses;1.199
Corrales;1.141
Cotanes del Monte;162
Cubillos;397
Cubo de Benavente;180
Cubo de Tierra del Vino (El);475
Cuelgamures;143
Entrala;165
Espadañedo;222
Faramontanos de Tábara;509
Fariza;722
Fermoselle;1.646
Ferreras de Abajo;629
Ferreras de Arriba;525
Ferreruela;666
Figueruela de Arriba;572
Fonfría;1.189
Fresno de la Polvorosa;216
Fresno de la Ribera;419
Fresno de Sayago;268
Friera de Valverde;276
Fuente Encalada;151
Fuentelapeña;1.051
Fuentesaúco;1.888
Fuentes de Ropel;575
Fuentesecas;89
Fuentespreadas;407
Galende;1.363
Gallegos del Pan;167
Gallegos del Río;850
Gamones;99
Gema;270
Granja de Moreruela;385
Granucillo;257
Guarrate;377
Hermisende;444
Hiniesta (La);383
Jambrina;269
Justel;170
Losacino;346
Losacio;161
Lubián;378
Luelmo;255
Maderal (El);302
Madridanos;566
Mahide;567
Maire de Castroponce;250
Malva;228
Manganeses de la Lampreana;786
Manganeses de la Polvorosa;876
Manzanal de Arriba;460
Manzanal del Barco;200
Manzanal de los Infantes;194
Matilla de Arzón;261
Matilla la Seca;70
Mayalde;245
Melgar de Tera;595
Micereces de Tera;649
Milles de la Polvorosa;279
Molacillos;307
Molezuelas de la Carballeda;118
Mombuey;476
Monfarracinos;588
Montamarta;685
Moral de Sayago;386
Moraleja del Vino;1.259
Moraleja de Sayago;297
Morales del Vino;1.634
Morales de Rey;760
Morales de Toro;1.082
Morales de Valverde;302
Moralina;378
Moreruela de los Infanzones;480
Moreruela de Tábara;531
Muelas de los Caballeros;255
Muelas del Pan;922
Muga de Sayago;504
Navianos de Valverde;258
Olmillos de Castro;427
Otero de Bodas;283
Pajares de la Lampreana;500
Palacios del Pan;248
Palacios de Sanabria;356
Pedralba de la Pradería;305
Pego (El);456
Peleagonzalo;446
Peleas de Abajo;265
Peñausende;576
Peque;218
Perdigón (El);773
Pereruela;741
Perilla de Castro;264
Pías;237
Piedrahita de Castro;150
Pinilla de Toro;381
Pino;247
Piñero (El);312
Pobladura del Valle;334
Pobladura de Valderaduey;80
Porto;338
Pozoantiguo;333
Pozuelo de Tábara;246
Prado;103
Puebla de Sanabria;1.645
Pueblica de Valverde;324
Quintanilla del Monte;151
Quintanilla del Olmo;62
Quintanilla de Urz;153
Quiruelas de Vidriales;981
Rabanales;847
Rábano de Aliste;480
Requejo;213
Revellinos;342
Riofrío de Aliste;1.088
Rionegro del Puente;402
Roales;392
Robleda-Cervantes;447
Roelos de Sayago;164
Rosinos de la Requejada;528
Salce;149
Samir de los Caños;234
San Agustín del Pozo;211
San Cebrián de Castro;379
San Cristóbal de Entreviñas;1.633
San Esteban del Molar;183
San Justo;370
San Martín de Valderaduey;98
San Miguel de la Ribera;402
San Miguel del Valle;225
San Pedro de Ceque;703
San Pedro de la Nave-Almendra;530
Santa Clara de Avedillo;261
Santa Colomba de las Monjas;331
Santa Cristina de la Polvorosa;1.279
Santa Croya de Tera;484
Santa Eufemia del Barco;297
Santa María de la Vega;503
Santa María de Valverde;99
Santibáñez de Tera;605
Santibáñez de Vidriales;1.404
Santovenia;431
San Vicente de la Cabeza;628
San Vitero;727
Sanzoles;707
Tábara;964
Tapioles;247
Toro;9.325
Torre del Valle (La);192
Torregamones;331
Torres del Carrizal;521
Trabazos;949
Trefacio;240
Uña de Quintana;231
Vadillo de la Guareña;378
Valcabado;360
Valdefinjas;103
Valdescorriel;198
Vallesa de la Guareña;183
Vega de Tera;523
Vega de Villalobos;160
Vegalatrave;150
Venialbo;544
Vezdemarbán;700
Vidayanes;116
Videmala;205
Villabrázaro;378
Villabuena del Puente;987
Villadepera;278
Villaescusa;379
Villafáfila;673
Villaferrueña;159
Villageriz;72
Villalazán;394
Villalba de la Lampreana;323
Villalcampo;677
Villalobos;318
Villalonso;127
Villalpando;1.731
Villalube;318
Villamayor de Campos;557
Villamor de los Escuderos;587
Villanázar;382
Villanueva de Azoague;368
Villanueva de Campeán;189
Villanueva de las Peras;191
Villanueva del Campo;1.085
Villaralbo;1.617
Villardeciervos;514
Villar de Fallaves;108
Villar del Buey;864
Villardiegua de la Ribera;177
Villárdiga;110
Villardondiego;131
Villarrín de Campos;651
Villaseco del Pan;324
Villavendimio;203
Villaveza del Agua;280
Villaveza de Valverde;148
Viñas;293
Zamora;65.226
