Abanto;184
Acered;271
Agón;182
Aguarón;751
Aguilón;276
Ainzón;1.228
Aladrén;77
Alagón;5.621
Alarba;158
Alberite de San Juan;97
Albeta;119
Alborge;141
Alcalá de Ebro;296
Alcalá de Moncayo;147
Alconchel de Ariza;162
Aldehuela de Liestos;58
Alfajarín;1.495
Alfamén;1.315
Alforque;88
Alhama de Aragón;1.178
Almochuel;50
Almolda (La);691
Almonacid de la Cuba;339
Almonacid de la Sierra;859
Almunia de Doña Godina (La);5.591
Alpartir;603
Ambel;357
Anento;107
Aniñón;907
Añón de Moncayo;304
Aranda de Moncayo;247
Arándiga;503
Ardisa;79
Ariza;1.334
Artieda;100
Asín;101
Atea;239
Ateca;1.986
Azuara;716
Badules;121
Bagüés;46
Balconchán;26
Bárboles;326
Bardallur;297
Belchite;1.643
Belmonte de Gracián;282
Berdejo;49
Berrueco;39
Bijuesca;129
Biota;1.222
Bisimbre;128
Boquiñeni;992
Bordalba;100
Borja;4.256
Botorrita;489
Brea de Aragón;2.009
Bubierca;108
Bujaraloz;986
Bulbuente;263
Bureta;320
Burgo de Ebro (El);1.550
Buste (El);111
Cabañas de Ebro;550
Cabolafuente;87
Cadrete;1.679
Calatayud;17.876
Calatorao;2.725
Calcena;90
Calmarza;98
Campillo de Aragón;183
Carenas;220
Cariñena;2.875
Caspe;7.727
Castejón de Alarba;116
Castejón de las Armas;135
Castejón de Valdejasa;336
Castiliscar;408
Cervera de la Cañada;341
Cerveruela;14
Cetina;730
Cimballa;165
Cinco Olivas;137
Clarés de Ribota;107
Codo;278
Codos;283
Contamina;59
Cosuenda;415
Cuarte de Huerva;1.847
Cubel;237
Cuerlas (Las);97
Chiprana;377
Chodes;121
Daroca;2.286
Ejea de los Caballeros;15.532
Embid de Ariza;70
Encinacorba;304
Épila;3.971
Erla;466
Escatrón;1.282
Fabara;1.218
Farlete;461
Fayón;385
Fayos (Los);191
Figueruelas;1.011
Fombuena;19
Frago (El);122
Frasno (El);561
Fréscano;252
Fuendejalón;872
Fuendetodos;199
Fuentes de Ebro;3.848
Fuentes de Jiloca;353
Gallocanta;167
Gallur;2.921
Gelsa;1.253
Godojos;68
Gotor;380
Grisel;70
Grisén;479
Herrera de los Navarros;616
Ibdes;558
Illueca;3.295
Isuerre;62
Jaraba;321
Jarque;583
Jaulín;300
Joyosa (La);382
Lagata;140
Langa del Castillo;197
Layana;139
Lécera;837
Leciñena;1.367
Lechón;53
Letux;478
Litago;182
Lituénigo;118
Lobera de Onsella;54
Longares;915
Longás;52
Lucena de Jalón;251
Luceni;1.056
Luesia;443
Luesma;23
Lumpiaque;917
Luna;928
Maella;1.996
Magallón;1.201
Mainar;183
Malanquilla;126
Maleján;296
Malón;455
Maluenda;973
Mallén;2.983
Manchones;153
Mara;205
María de Huerva;1.121
Mediana de Aragón;514
Mequinenza;2.478
Mesones de Isuela;374
Mezalocha;319
Mianos;45
Miedes de Aragón;512
Monegrillo;534
Moneva;145
Monreal de Ariza;299
Monterde;264
Montón;140
Morata de Jalón;1.540
Morata de Jiloca;330
Morés;487
Moros;510
Moyuela;353
Mozota;114
Muel;1.123
Muela (La);1.351
Munébrega;463
Murero;149
Murillo de Gállego;133
Navardún;62
Nigüella;122
Nombrevilla;66
Nonaspe;1.080
Novallas;731
Novillas;670
Nuévalos;344
Nuez de Ebro;592
Olvés;169
Orcajo;47
Orera;126
Orés;101
Oseja;50
Osera de Ebro;354
Paniza;697
Paracuellos de Jiloca;500
Paracuellos de la Ribera;291
Pastriz;1.043
Pedrola;2.637
Pedrosas (Las);96
Perdiguera;508
Piedratajada;133
Pina de Ebro;2.239
Pinseque;1.606
Pintanos (Los);89
Plasencia de Jalón;366
Pleitas;61
Plenas;137
Pomer;27
Pozuel de Ariza;24
Pozuelo de Aragón;339
Pradilla de Ebro;647
Puebla de Albortón;148
Puebla de Alfindén (La);1.907
Puendeluna;60
Purujosa;40
Quinto;2.110
Remolinos;1.244
Retascón;78
Ricla;2.083
Romanos;143
Rueda de Jalón;353
Ruesca;89
Sádaba;1.666
Salillas de Jalón;352
Salvatierra de Esca;278
Samper del Salz;142
San Martín de la Virgen de Moncayo;305
San Mateo de Gállego;2.137
Santa Cruz de Grío;232
Santa Cruz de Moncayo;121
Santa Eulalia de Gállego;127
Santed;80
Sástago;1.444
Sabiñán;931
Sediles;102
Sestrica;478
Sierra de Luna;250
Sigüés;187
Sisamón;82
Sobradiel;641
Sos del Rey Católico;774
Tabuenca;480
Talamantes;70
Tarazona;10.416
Tauste;6.932
Terrer;625
Tierga;253
Tobed;281
Torralba de los Frailes;105
Torralba de Ribota;220
Torralbilla;76
Torrehermosa;114
Torrelapaja;45
Torrellas;305
Torres de Berrellén;1.400
Torrijo de la Cañada;386
Tosos;200
Trasmoz;60
Trasobares;226
Uncastillo;889
Undués de Lerda;48
Urrea de Jalón;334
Urriés;77
Used;383
Utebo;10.719
Valdehorna;59
Val de San Martín;84
Valmadrid;67
Valpalmas;200
Valtorres;90
Velilla de Ebro;276
Velilla de Jiloca;116
Vera de Moncayo;482
Vierlas;108
Vilueña (La);101
Villadoz;83
Villafeliche;245
Villafranca de Ebro;680
Villalba de Perejil;114
Villalengua;428
Villanueva de Gállego;3.134
Villanueva de Jiloca;115
Villanueva de Huerva;598
Villar de los Navarros;175
Villarreal de Huerva;182
Villarroya de la Sierra;683
Villarroya del Campo;86
Vistabella;34
Zaida (La);596
Zaragoza;604.631
Zuera;5.448
Biel;240
Marracos;130
